rank_by_prunability_descending,ratio_percent,group_id,group_kind,representative_root,parameters_removed,gflops_removed,baseline_parameters,baseline_gflops,RP_parameter_reduction_fraction,RF_gflop_reduction_fraction,B_geometric_resource_benefit,sensitivity_S_GEN_PROTECTED,P_updated_prunability
1,37.5,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,24768,0.01996800000000043,2506140,5.782528,0.009882927529986353,0.0034531609704268494,0.0058418609723362895,0.00022455134076407676,0.9629844908037062
2,37.5,DG025,GENERIC,model.22.m.0.0.cv1.conv,55344,0.04431359999999973,2506140,5.782528,0.022083363259833847,0.007663361076677836,0.013008950243872412,0.02593434492986197,0.3340485232653451
3,37.5,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,27696,0.022195200000000526,2506140,5.782528,0.01105125811008164,0.0038383212325129295,0.006512931647876175,0.016777559775915607,0.279639082291886
4,37.5,DG039,GENERIC,model.8.m.0.cv2.conv,6192,0.0049920000000005516,2506140,5.782528,0.0024707318824965883,0.0008632902426067892,0.0014604652430841374,0.004026207567017024,0.26618413264872814
5,37.5,CDG009,CUSTOM,model.22,184752,0.1484160000000001,2506140,5.782528,0.0737197443079796,0.025666282982114413,0.04349841168109156,0.13155906574599166,0.24848074084244687
6,37.5,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,6936,0.022272000000000958,2506140,5.782528,0.0027676027676027675,0.0038516026208607994,0.003264920530916552,0.011001404639575775,0.22885504794672223
7,37.5,DG004,GENERIC,model.10.m.0.ffn.0.conv,24768,0.01996800000000043,2506140,5.782528,0.009882927529986353,0.0034531609704268494,0.0058418609723362895,0.019970808744773874,0.22631758110878236
8,37.5,DG038,GENERIC,model.8.m.0.cv1.conv,61584,0.049382399999999826,2506140,5.782528,0.024573248102659866,0.008539932707632342,0.014486334429546674,0.05401612081358831,0.21147175496309573
9,37.5,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,27696,0.022195200000000526,2506140,5.782528,0.01105125811008164,0.0038383212325129295,0.006512931647876175,0.027971515364047756,0.1888657702883898
10,37.5,CDG005,CUSTOM,model.10,104784,0.08436480000000035,2506140,5.782528,0.04181091239914769,0.014589605100053187,0.02469827323471182,0.12079753043564967,0.16975247815853695
11,37.5,DG042,GENERIC,model.9.cv1.conv,61536,0.04930560000000028,2506140,5.782528,0.024554095142330437,0.008526651319284624,0.014469423199947951,0.07298256638837547,0.16545562048458992
12,37.5,DG036,GENERIC,model.7.conv,135360,0.10844159999999992,2506140,5.782528,0.05401134812899519,0.018753320347086933,0.03182596603154539,0.16645545738132894,0.16050906576999557
13,37.5,DG023,GENERIC,model.20.conv,67680,0.0542208000000004,2506140,5.782528,0.027005674064497595,0.009376660173543544,0.015912983015772764,0.11210605667647963,0.12430169023315837
14,37.5,DG003,GENERIC,model.10.cv2.conv,61632,0.07925760000000004,2506140,5.782528,0.024592401062989298,0.013706392774924745,0.018359550872714948,0.13694019520471465,0.11822009588838099
15,37.5,DG037,GENERIC,model.8.cv2.conv,123264,0.09891839999999963,2506140,5.782528,0.049184802125978595,0.017106428191960267,0.02900648695902052,0.2191870223722135,0.11687044934083692
16,37.5,DG033,GENERIC,model.6.m.0.cv2.conv,1560,0.0050688000000000955,2506140,5.782528,0.0006224712107065049,0.0008765716309545056,0.0007386748976317164,0.006117113398587395,0.10774470647512367
17,37.5,DG024,GENERIC,model.22.cv2.conv,79104,0.0637439999999998,2506140,5.782528,0.03156407862290215,0.011023552328670055,0.018653371609599637,0.18608505170775563,0.0911083093606027
18,37.5,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,6936,0.022272000000000958,2506140,5.782528,0.0027676027676027675,0.0038516026208607994,0.003264920530916552,0.03346400769463345,0.0888923442270595
19,37.5,DG031,GENERIC,model.6.cv2.conv,126048,0.13824000000000058,2506140,5.782528,0.05029567382508559,0.023906499026031622,0.03467554581132088,0.36024770670105805,0.08780325187419541
20,37.5,CDG004,CUSTOM,model.8,74016,0.059443199999999585,2506140,5.782528,0.029533864827982474,0.010279794581193482,0.017424180428943996,0.19193736380080373,0.0832253148162834
21,37.5,DG007,GENERIC,model.13.m.0.cv2.conv,1560,0.0050688000000000955,2506140,5.782528,0.0006224712107065049,0.0008765716309545056,0.0007386748976317164,0.009236423723524472,0.07405188917782332
22,37.5,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,6936,0.022272000000000958,2506140,5.782528,0.0027676027676027675,0.0038516026208607994,0.003264920530916552,0.043307965033782606,0.07010346237578338
23,37.5,DG018,GENERIC,model.19.m.0.cv2.conv,1560,0.0050688000000000955,2506140,5.782528,0.0006224712107065049,0.0008765716309545056,0.0007386748976317164,0.010344242043618656,0.06664986316755517
24,37.5,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,6936,0.022272000000000958,2506140,5.782528,0.0027676027676027675,0.0038516026208607994,0.003264920530916552,0.05373151352665387,0.057282891200153896
25,37.5,DG005,GENERIC,model.13.cv2.conv,18528,0.08970240000000018,2506140,5.782528,0.0073930426871603346,0.01551266159022493,0.010709144192138111,0.1812495337761827,0.055788799472277335
26,37.5,DG010,GENERIC,model.16.cv2.conv,26688,0.2107391999999999,2506140,5.782528,0.01064904594316359,0.036444129626350255,0.019700132252084328,0.3485306342312285,0.05349941950865499
27,37.5,DG028,GENERIC,model.4.cv2.conv,63072,0.2777087999999992,2506140,5.782528,0.025166989872872227,0.04802550026562763,0.0347657486446743,0.622636870796053,0.05288349577044672
28,37.5,CDG006,CUSTOM,model.13,30864,0.09922560000000047,2506140,5.782528,0.01231535349182408,0.017159553745351594,0.01453705507095432,0.27793170304115195,0.04970464252247455
29,37.5,DG030,GENERIC,model.5.conv,61536,0.19722240000000024,2506140,5.782528,0.024554095142330437,0.034106605277138345,0.02893884639989584,0.6594451699073495,0.042038812224512216
30,37.5,DG001,GENERIC,model.0.conv,1902,0.12656639999999975,2506140,5.782528,0.0007589360530537001,0.02188772799716659,0.004075706797168141,0.09965739790183148,0.039290319218677025
31,37.5,DG016,GENERIC,model.19.cv2.conv,85632,0.14223359999999996,2506140,5.782528,0.034168881227704756,0.02459713122011687,0.028990627023271535,0.717900415078762,0.03881506858307065
32,37.5,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,6936,0.022272000000000958,2506140,5.782528,0.0027676027676027675,0.0038516026208607994,0.003264920530916552,0.08351542442598968,0.03762281116234167
33,37.5,DG015,GENERIC,model.17.conv,16944,0.05437440000000038,2506140,5.782528,0.006760994996289114,0.00940322295023913,0.007973402242177283,0.2245409286502833,0.034292089487873476
34,37.5,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,6936,0.022272000000000958,2506140,5.782528,0.0027676027676027675,0.0038516026208607994,0.003264920530916552,0.09840523753491282,0.03211286962692221
35,37.5,DG006,GENERIC,model.13.m.0.cv1.conv,15432,0.049612799999999346,2506140,5.782528,0.00615767674591204,0.008579776872675644,0.007268527535477095,0.252340143135898,0.027998015307731928
36,37.5,DG029,GENERIC,model.4.m.0.cv1.conv,3468,0.04454399999999925,2506140,5.782528,0.0013838013838013837,0.007703205241721138,0.0032649205309164546,0.11506916510844997,0.027590702317729383
37,37.5,DG021,GENERIC,model.2.cv2.conv,15024,0.24084479999999964,2506140,5.782528,0.005994876583111877,0.04165043385868596,0.01580155722123255,0.5596792510304289,0.027458009015519466
38,37.5,CDG003,CUSTOM,model.6,18576,0.0599040000000004,2506140,5.782528,0.007412195647489765,0.010359482911280395,0.008762791458504369,0.32995477443502236,0.025870496073589773
39,37.5,DG017,GENERIC,model.19.m.0.cv1.conv,15432,0.049612799999999346,2506140,5.782528,0.00615767674591204,0.008579776872675644,0.007268527535477095,0.30518967890117976,0.023262399212902764
40,37.5,DG032,GENERIC,model.6.m.0.cv1.conv,15432,0.049612799999999346,2506140,5.782528,0.00615767674591204,0.008579776872675644,0.007268527535477095,0.320954248405469,0.022145104082554132
41,37.5,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,1740,0.022425600000000045,2506140,5.782528,0.0006942948119418708,0.0038781653975562325,0.0016409113673126207,0.07490726554761432,0.02143632197976804
42,37.5,CDG008,CUSTOM,model.19,21648,0.06973439999999975,2506140,5.782528,0.008637985108573344,0.01205950061979808,0.010206360113705905,0.5508848389536991,0.018190198190009027
43,37.5,DG022,GENERIC,model.2.m.0.cv1.conv,870,0.04485120000000009,2506140,5.782528,0.0003471474059709354,0.007756330795112465,0.0016409113673126207,0.10084180087151311,0.016011591920875794
44,37.5,DG027,GENERIC,model.3.conv,15408,0.19783680000000015,2506140,5.782528,0.006148100265747324,0.034212856383920694,0.014503243479510295,1.0,0.014295906467255384
45,37.5,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,1740,0.022425600000000045,2506140,5.782528,0.0006942948119418708,0.0038781653975562325,0.0016409113673126207,0.1259419061426176,0.012861538875992473
46,37.5,DG012,GENERIC,model.16.m.0.cv2.conv,396,0.005222400000000071,2506140,5.782528,0.00015801192271780508,0.0009031344076500921,0.0003777644824826667,0.03335695552451503,0.011198091533123912
47,37.5,CDG007,CUSTOM,model.16,9288,0.11980799999999991,2506140,5.782528,0.0037060978237448824,0.020718965822560637,0.008762791458504338,0.8010351258922119,0.01082096072458686
48,37.5,DG002,GENERIC,model.1.conv,2136,0.11059199999999958,2506140,5.782528,0.0008523067346596758,0.019125199220825145,0.00403739223975294,0.40011405911067766,0.009989800175806392
49,37.5,CDG002,CUSTOM,model.4,9672,0.12472320000000003,2506140,5.782528,0.00385932150638033,0.021568974676819556,0.009123683896366776,0.999614060947503,0.009044654017361984
50,37.5,DG011,GENERIC,model.16.m.0.cv1.conv,3876,0.05007360000000016,2506140,5.782528,0.0015466015466015467,0.008659465202762557,0.003659609579632074,0.5394041608121057,0.006738821072509078
51,37.5,CDG001,CUSTOM,model.2,2436,0.12656639999999975,2506140,5.782528,0.0009720127367186191,0.02188772799716659,0.00461249936488653,0.70795603407655,0.00647306069299735
