domain,method,parameter_reduction_percent,map50_95,median_compute_ms,p95_compute_ms,compute_fps,measurement_path,status
GEN,Unpruned baseline,0.0,0.6471450411564877,11381.2203555,11489.7929890,0.08785414,PYNQ-Z2 ARM PS / NCNN,COMPLETE
GEN,XD-Prune T7,56.81207612167027,0.6123146169793877,6305.880805,6849.9033316,0.15566609,PYNQ-Z2 ARM PS / NCNN,COMPLETE
GEN,Global L1 unrestricted,56.81207612167027,0.1868,2967.659824,2967.890080,0.33715043,PYNQ-Z2 ARM PS / NCNN,COMPLETE
SNOW,Unpruned baseline,0.0,0.19198061496745905,10234.233305,10262.6615771,0.09795315,PYNQ-Z2 ARM PS / NCNN,COMPLETE
SNOW,XD-Prune T7,56.83859078071897,0.1474253729144936,5898.432367,6107.6335501,0.16751599,PYNQ-Z2 ARM PS / NCNN,COMPLETE
GEN2,Unpruned baseline,0.0,0.29238744923632365,10247.866145,10262.5507934,0.09791679,PYNQ-Z2 ARM PS / NCNN,COMPLETE
GEN2,XD-Prune,56.315449256625726,0.2498701971776993,6276.554255,6484.7651717,0.15766401,PYNQ-Z2 ARM PS / NCNN,COMPLETE
GEN2,Formula R4 signed,56.107639637051406,0.24970263687381794,6271.201932,6561.5815365,0.15679661,PYNQ-Z2 ARM PS / NCNN,COMPLETE
GEN2,Global L1 + DepGraph,56.79594914889032,0.2355775460883765,5456.256160,5628.7340824,0.18134549,PYNQ-Z2 ARM PS / NCNN,COMPLETE
GEN2,FPGM + DepGraph,56.03174603174603,0.23950976725383183,5616.330031,5823.0383401,0.17582154,PYNQ-Z2 ARM PS / NCNN,COMPLETE
GEN2,Isomorphic Pruning + Taylor,56.16677440206852,0.24203691706710403,5633.673092,5817.2784902,0.17702746,PYNQ-Z2 ARM PS / NCNN,COMPLETE
NGN2,Unpruned baseline,0.0,0.2556081270327769,10277.044821,10314.5047209,0.09723473,PYNQ-Z2 ARM PS / NCNN,COMPLETE
NGN2,XD-Prune,56.315449256625726,0.23004006909152203,6461.141748,6488.291922,0.15626387,PYNQ-Z2 ARM PS / NCNN,COMPLETE
NGN2,Formula R4 signed,56.107639637051406,0.2293481721999404,6474.186760,6492.352891,0.15573715,PYNQ-Z2 ARM PS / NCNN,COMPLETE
NGN2,Global L1 + DepGraph,56.79594914889032,0.20599107162370628,5501.820019,5655.664642,0.18061576,PYNQ-Z2 ARM PS / NCNN,COMPLETE
NGN2,FPGM + DepGraph,56.03174603174603,0.20853341102812373,5630.834856,5771.2460322,0.17622068,PYNQ-Z2 ARM PS / NCNN,COMPLETE
NGN2,Isomorphic Pruning + Taylor,56.16677440206852,0.208161512778785,5463.918260,5705.1851651,0.18007879,PYNQ-Z2 ARM PS / NCNN,COMPLETE
