layer_id,layer_type,layer_params,params_percent,snow_baseline_map50_95,snow_deleted_map50_95,ad_snow_map50_95,mode,adapter_details
9,SPPF,164608,6.563082,0.020819,0.025793,-0.004974,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_unchanged
8,C3k2,346112,13.799824,0.020819,0.025260,-0.004441,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_unchanged
11,Upsample,0,0.000000,0.020819,0.020819,0.000000,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(20, 20)_to_(40, 40); channels_unchanged"
12,Concat,0,0.000000,0.020819,0.020819,0.000000,adapted_bypass,input_tensors=2; multi_input_policy=concat; source_0_spatial_unchanged; source_1_spatial_unchanged; concatenated_inputs_along_channels; spatial_unchanged; channels_unchanged
14,Upsample,0,0.000000,0.020819,0.020819,0.000000,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(40, 40)_to_(80, 80); channels_unchanged"
15,Concat,0,0.000000,0.020819,0.020819,0.000000,adapted_bypass,input_tensors=2; multi_input_policy=concat; source_0_spatial_unchanged; source_1_spatial_unchanged; concatenated_inputs_along_channels; spatial_unchanged; channels_unchanged
18,Concat,0,0.000000,0.020819,0.020819,0.000000,adapted_bypass,input_tensors=2; multi_input_policy=concat; source_0_spatial_unchanged; source_1_spatial_unchanged; concatenated_inputs_along_channels; spatial_unchanged; channels_unchanged
21,Concat,0,0.000000,0.020819,0.020819,0.000000,adapted_bypass,input_tensors=2; multi_input_policy=concat; source_0_spatial_unchanged; source_1_spatial_unchanged; concatenated_inputs_along_channels; spatial_unchanged; channels_unchanged
20,Conv,147712,5.889422,0.020819,0.020325,0.000494,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(40, 40)_to_(20, 20); channels_unchanged"
22,C3k2,463104,18.464409,0.020819,0.018788,0.002031,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_crop_384_to_256
7,Conv,295424,11.778844,0.020819,0.016726,0.004093,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(40, 40)_to_(20, 20); channels_zero_pad_128_to_256"
17,Conv,36992,1.474907,0.020819,0.010804,0.010016,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(80, 80)_to_(40, 40); channels_unchanged"
10,C2PSA,249728,9.956899,0.020819,0.006681,0.014138,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_unchanged
19,C3k2,95232,3.796993,0.020819,0.006286,0.014533,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_crop_192_to_128
5,Conv,147712,5.889422,0.020819,0.000335,0.020484,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(80, 80)_to_(40, 40); channels_unchanged"
13,C3k2,119808,4.776862,0.020819,0.000167,0.020652,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_crop_384_to_128
16,C3k2,34304,1.367734,0.020819,0.000083,0.020736,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_crop_256_to_64
0,Conv,464,0.018500,0.020819,0.000000,0.020819,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(640, 640)_to_(320, 320); channels_zero_pad_3_to_16"
1,Conv,4672,0.186277,0.020819,0.000000,0.020819,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(320, 320)_to_(160, 160); channels_zero_pad_16_to_32"
2,C3k2,6640,0.264743,0.020819,0.000000,0.020819,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_zero_pad_32_to_64
3,Conv,36992,1.474907,0.020819,0.000000,0.020819,adapted_bypass,"input_tensors=1; multi_input_policy=concat; spatial_resize_(160, 160)_to_(80, 80); channels_unchanged"
4,C3k2,26080,1.039835,0.020819,0.000000,0.020819,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_zero_pad_64_to_128
6,C3k2,87040,3.470370,0.020819,0.000000,0.020819,adapted_bypass,input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_unchanged
