layer_id,layer_type,mode,multi_input_policy,total_model_params,layer_params,params_percent,status,error,input_shapes,output_shape,adapter_details,gen_baseline_map50_95,snow_baseline_map50_95,gen_deleted_map50_95,ad_gen_map50_95,snow_deleted_map50_95,ad_snow_map50_95,combined_sensitivity,deletion_score,gen_latency_ms,snow_latency_ms,gen_fps,snow_fps
0,Conv,adapted_bypass,concat,2508090,464,0.018500,ok,,"((1, 3, 640, 640))","(1, 16, 320, 320)","input_tensors=1; multi_input_policy=concat; spatial_resize_(640, 640)_to_(320, 320); channels_zero_pad_3_to_16",0.506632,0.020819,0.000000,0.506632,0.000000,0.020819,0.263726,0.070149,1.304679,1.155704,766.471905,865.273225
1,Conv,adapted_bypass,concat,2508090,4672,0.186277,ok,,"((1, 16, 320, 320))","(1, 32, 160, 160)","input_tensors=1; multi_input_policy=concat; spatial_resize_(320, 320)_to_(160, 160); channels_zero_pad_16_to_32",0.506632,0.020819,0.000014,0.506619,0.000000,0.020819,0.263719,0.706348,1.379232,1.139839,725.041102,877.317197
2,C3k2,adapted_bypass,concat,2508090,6640,0.264743,ok,,"((1, 32, 160, 160))","(1, 64, 160, 160)",input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_zero_pad_32_to_64,0.506632,0.020819,0.000000,0.506632,0.000000,0.020819,0.263726,1.003858,1.299203,1.127682,769.702890,886.774816
3,Conv,adapted_bypass,concat,2508090,36992,1.474907,ok,,"((1, 64, 160, 160))","(1, 64, 80, 80)","input_tensors=1; multi_input_policy=concat; spatial_resize_(160, 160)_to_(80, 80); channels_unchanged",0.506632,0.020819,0.000001,0.506631,0.000000,0.020819,0.263725,5.592593,1.287975,1.158644,776.412763,863.078062
4,C3k2,adapted_bypass,concat,2508090,26080,1.039835,ok,,"((1, 64, 80, 80))","(1, 128, 80, 80)",input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_zero_pad_64_to_128,0.506632,0.020819,0.000001,0.506632,0.000000,0.020819,0.263725,3.942871,1.286596,1.160119,777.244506,861.980359
5,Conv,adapted_bypass,concat,2508090,147712,5.889422,ok,,"((1, 128, 80, 80))","(1, 128, 40, 40)","input_tensors=1; multi_input_policy=concat; spatial_resize_(80, 80)_to_(40, 40); channels_unchanged",0.506632,0.020819,0.000650,0.505982,0.000335,0.020484,0.263233,22.373418,1.340846,1.088952,745.797667,918.314497
6,C3k2,adapted_bypass,concat,2508090,87040,3.470370,ok,,"((1, 128, 40, 40))","(1, 128, 40, 40)",input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_unchanged,0.506632,0.020819,0.000441,0.506191,0.000000,0.020819,0.263505,13.170032,1.290090,1.121878,775.139495,891.362586
7,Conv,adapted_bypass,concat,2508090,295424,11.778844,ok,,"((1, 128, 40, 40))","(1, 256, 20, 20)","input_tensors=1; multi_input_policy=concat; spatial_resize_(40, 40)_to_(20, 20); channels_zero_pad_128_to_256",0.506632,0.020819,0.178178,0.328455,0.016726,0.004093,0.166274,70.840014,1.277644,1.139695,782.690489,877.427402
8,C3k2,adapted_bypass,concat,2508090,346112,13.799824,ok,,"((1, 256, 20, 20))","(1, 256, 20, 20)",input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_unchanged,0.506632,0.020819,0.146583,0.360050,0.025260,-0.004441,0.177804,77.612503,1.263452,1.114151,791.482267,897.544136
9,SPPF,adapted_bypass,concat,2508090,164608,6.563082,ok,,"((1, 256, 20, 20))","(1, 256, 20, 20)",input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_unchanged,0.506632,0.020819,0.436350,0.070282,0.025793,-0.004974,0.032654,200.987597,1.396621,1.053050,716.014062,949.622926
10,C2PSA,adapted_bypass,concat,2508090,249728,9.956899,ok,,"((1, 256, 20, 20))","(1, 256, 20, 20)",input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_unchanged,0.506632,0.020819,0.030004,0.476628,0.006681,0.014138,0.245383,40.576973,1.266874,1.102332,789.344322,907.167386
11,Upsample,adapted_bypass,concat,2508090,0,0.000000,ok,,"((1, 256, 20, 20))","(1, 256, 40, 40)","input_tensors=1; multi_input_policy=concat; spatial_resize_(20, 20)_to_(40, 40); channels_unchanged",0.506632,0.020819,0.506632,0.000000,0.020819,0.000000,0.000000,0.000000,1.270951,1.090111,786.812344,917.338147
12,Concat,adapted_bypass,concat,2508090,0,0.000000,ok,,"([(1, 256, 40, 40), (1, 128, 40, 40)])","(1, 384, 40, 40)",input_tensors=2; multi_input_policy=concat; source_0_spatial_unchanged; source_1_spatial_unchanged; concatenated_inputs_along_channels; spatial_unchanged; channels_unchanged,0.506632,0.020819,0.506632,0.000000,0.020819,0.000000,0.000000,0.000000,1.266997,1.116708,789.267742,895.488991
13,C3k2,adapted_bypass,concat,2508090,119808,4.776862,ok,,"((1, 384, 40, 40))","(1, 128, 40, 40)",input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_crop_384_to_128,0.506632,0.020819,0.017730,0.488902,0.000167,0.020652,0.254777,18.749174,1.343061,1.122392,744.567618,890.953967
14,Upsample,adapted_bypass,concat,2508090,0,0.000000,ok,,"((1, 128, 40, 40))","(1, 128, 80, 80)","input_tensors=1; multi_input_policy=concat; spatial_resize_(40, 40)_to_(80, 80); channels_unchanged",0.506632,0.020819,0.506632,0.000000,0.020819,0.000000,0.000000,0.000000,1.264092,1.083723,791.081932,922.744940
15,Concat,adapted_bypass,concat,2508090,0,0.000000,ok,,"([(1, 128, 80, 80), (1, 128, 80, 80)])","(1, 256, 80, 80)",input_tensors=2; multi_input_policy=concat; source_0_spatial_unchanged; source_1_spatial_unchanged; concatenated_inputs_along_channels; spatial_unchanged; channels_unchanged,0.506632,0.020819,0.506632,0.000000,0.020819,0.000000,0.000000,0.000000,1.309393,1.101651,763.712826,907.728149
16,C3k2,adapted_bypass,concat,2508090,34304,1.367734,ok,,"((1, 256, 80, 80))","(1, 64, 80, 80)",input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_crop_256_to_64,0.506632,0.020819,0.102450,0.404183,0.000083,0.020736,0.212459,6.437629,1.277272,1.153821,782.918835,866.685599
17,Conv,adapted_bypass,concat,2508090,36992,1.474907,ok,,"((1, 64, 80, 80))","(1, 64, 40, 40)","input_tensors=1; multi_input_policy=concat; spatial_resize_(80, 80)_to_(40, 40); channels_unchanged",0.506632,0.020819,0.178985,0.327647,0.010804,0.010016,0.168831,8.735977,1.243937,1.112981,803.899451,898.487926
18,Concat,adapted_bypass,concat,2508090,0,0.000000,ok,,"([(1, 64, 40, 40), (1, 128, 40, 40)])","(1, 192, 40, 40)",input_tensors=2; multi_input_policy=concat; source_0_spatial_unchanged; source_1_spatial_unchanged; concatenated_inputs_along_channels; spatial_unchanged; channels_unchanged,0.506632,0.020819,0.506632,0.000000,0.020819,0.000000,0.000000,0.000000,1.281287,1.158177,780.465416,863.426005
19,C3k2,adapted_bypass,concat,2508090,95232,3.796993,ok,,"((1, 192, 40, 40))","(1, 128, 40, 40)",input_tensors=1; multi_input_policy=concat; spatial_unchanged; channels_crop_192_to_128,0.506632,0.020819,0.062945,0.443687,0.006286,0.014533,0.229110,16.572809,1.264379,1.152779,790.901846,867.469111
20,Conv,adapted_bypass,concat,2508090,147712,5.889422,ok,,"((1, 128, 40, 40))","(1, 128, 20, 20)","input_tensors=1; multi_input_policy=concat; spatial_resize_(40, 40)_to_(20, 20); channels_unchanged",0.506632,0.020819,0.353487,0.153146,0.020325,0.000494,0.076820,76.665289,1.253893,1.174578,797.516059,851.369729
21,Concat,adapted_bypass,concat,2508090,0,0.000000,ok,,"([(1, 128, 20, 20), (1, 256, 20, 20)])","(1, 384, 20, 20)",input_tensors=2; multi_input_policy=concat; source_0_spatial_unchanged; source_1_spatial_unchanged; concatenated_inputs_along_channels; spatial_unchanged; channels_unchanged,0.506632,0.020819,0.506632,0.000000,0.020819,0.000000,0.000000,0.000000,1.254889,1.143063,796.883357,874.842284
