layer_id,layer_type,mode,multi_input_policy,total_model_params,layer_params,params_percent,status,error,input_shapes,output_shape,adapter_details,gen_baseline_map50_95,snow_baseline_map50_95,gen_deleted_map50_95,ad_gen_map50_95,snow_deleted_map50_95,ad_snow_map50_95,combined_sensitivity,deletion_score,gen_latency_ms,snow_latency_ms,gen_fps,snow_fps
0,Conv,bypass,,2508090,464,0.018500,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 3, 640, 640), output=(1, 16, 320, 320)",,,,0.506632,0.020819,,,,,,,,,,
1,Conv,bypass,,2508090,4672,0.186277,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 16, 320, 320), output=(1, 32, 160, 160)",,,,0.506632,0.020819,,,,,,,,,,
2,C3k2,bypass,,2508090,6640,0.264743,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 32, 160, 160), output=(1, 64, 160, 160)",,,,0.506632,0.020819,,,,,,,,,,
3,Conv,bypass,,2508090,36992,1.474907,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 64, 160, 160), output=(1, 64, 80, 80)",,,,0.506632,0.020819,,,,,,,,,,
4,C3k2,bypass,,2508090,26080,1.039835,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 64, 80, 80), output=(1, 128, 80, 80)",,,,0.506632,0.020819,,,,,,,,,,
5,Conv,bypass,,2508090,147712,5.889422,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 128, 80, 80), output=(1, 128, 40, 40)",,,,0.506632,0.020819,,,,,,,,,,
6,C3k2,bypass,,2508090,87040,3.470370,ok,,"((1, 128, 40, 40))","(1, 128, 40, 40)",strict_identity_no_shape_adapter,0.506632,0.020819,0.000441,0.506191,0.000000,0.020819,0.263505,13.170032,1.261224,1.171194,792.880278,853.829220
7,Conv,bypass,,2508090,295424,11.778844,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 128, 40, 40), output=(1, 256, 20, 20)",,,,0.506632,0.020819,,,,,,,,,,
8,C3k2,bypass,,2508090,346112,13.799824,ok,,"((1, 256, 20, 20))","(1, 256, 20, 20)",strict_identity_no_shape_adapter,0.506632,0.020819,0.146583,0.360050,0.025260,-0.004441,0.177804,77.612503,1.283658,1.115400,779.023897,896.539343
9,SPPF,bypass,,2508090,164608,6.563082,ok,,"((1, 256, 20, 20))","(1, 256, 20, 20)",strict_identity_no_shape_adapter,0.506632,0.020819,0.436350,0.070282,0.025793,-0.004974,0.032654,200.987597,1.293012,1.088538,773.388056,918.663388
10,C2PSA,bypass,,2508090,249728,9.956899,ok,,"((1, 256, 20, 20))","(1, 256, 20, 20)",strict_identity_no_shape_adapter,0.506632,0.020819,0.030004,0.476628,0.006681,0.014138,0.245383,40.576973,1.281197,1.202286,780.520121,831.749182
11,Upsample,bypass,,2508090,0,0.000000,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 256, 20, 20), output=(1, 256, 40, 40)",,,,0.506632,0.020819,,,,,,,,,,
12,Concat,bypass,,2508090,0,0.000000,failed,"Strict bypass failed: input and output shapes do not match. input=[(1, 256, 40, 40), (1, 128, 40, 40)], output=(1, 384, 40, 40)",,,,0.506632,0.020819,,,,,,,,,,
13,C3k2,bypass,,2508090,119808,4.776862,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 384, 40, 40), output=(1, 128, 40, 40)",,,,0.506632,0.020819,,,,,,,,,,
14,Upsample,bypass,,2508090,0,0.000000,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 128, 40, 40), output=(1, 128, 80, 80)",,,,0.506632,0.020819,,,,,,,,,,
15,Concat,bypass,,2508090,0,0.000000,failed,"Strict bypass failed: input and output shapes do not match. input=[(1, 128, 80, 80), (1, 128, 80, 80)], output=(1, 256, 80, 80)",,,,0.506632,0.020819,,,,,,,,,,
16,C3k2,bypass,,2508090,34304,1.367734,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 256, 80, 80), output=(1, 64, 80, 80)",,,,0.506632,0.020819,,,,,,,,,,
17,Conv,bypass,,2508090,36992,1.474907,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 64, 80, 80), output=(1, 64, 40, 40)",,,,0.506632,0.020819,,,,,,,,,,
18,Concat,bypass,,2508090,0,0.000000,failed,"Strict bypass failed: input and output shapes do not match. input=[(1, 64, 40, 40), (1, 128, 40, 40)], output=(1, 192, 40, 40)",,,,0.506632,0.020819,,,,,,,,,,
19,C3k2,bypass,,2508090,95232,3.796993,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 192, 40, 40), output=(1, 128, 40, 40)",,,,0.506632,0.020819,,,,,,,,,,
20,Conv,bypass,,2508090,147712,5.889422,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 128, 40, 40), output=(1, 128, 20, 20)",,,,0.506632,0.020819,,,,,,,,,,
21,Concat,bypass,,2508090,0,0.000000,failed,"Strict bypass failed: input and output shapes do not match. input=[(1, 128, 20, 20), (1, 256, 20, 20)], output=(1, 384, 20, 20)",,,,0.506632,0.020819,,,,,,,,,,
22,C3k2,bypass,,2508090,463104,18.464409,failed,"Strict bypass failed: input and output shapes do not match. input=(1, 384, 20, 20), output=(1, 256, 20, 20)",,,,0.506632,0.020819,,,,,,,,,,
