layer_id,layer_type,status,error,baseline_params,baseline_size_mb,layer_params,layer_params_percent,gen_baseline_map50_95,snow_baseline_map50_95,input_shapes,output_shape,adapter,replaced_model_path,original_layer_params_removed,params_after,params_reduced,params_reduction_percent,replaced_size_mb,size_reduced_mb,size_reduction_percent,gen_replaced_map50_95,ad_gen_map50_95,snow_replaced_map50_95,ad_snow_map50_95,combined_sensitivity,physical_layer_score,gen_latency_ms,snow_latency_ms,gen_fps,snow_fps
0,Conv,ok,,2508090,5.174115,464,0.018500,0.499741,0.023333,"((1, 3, 640, 640))","(1, 16, 320, 320)","NoParamLayerAdapter(target_channels=16, target_hw=(320, 320), multi_input_policy=concat, f=-1, i=0)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L0_Conv.pt,464,2507626,464,0.018500,5.186091,-0.011976,-0.231465,0.000000,0.499741,0.000000,0.023333,0.261537,0.070736,1.658406,1.757434,602.988827,569.011561
1,Conv,ok,,2508090,5.174115,4672,0.186277,0.499741,0.023333,"((1, 16, 320, 320))","(1, 32, 160, 160)","NoParamLayerAdapter(target_channels=32, target_hw=(160, 160), multi_input_policy=concat, f=-1, i=1)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L1_Conv.pt,4672,2503418,4672,0.186277,5.175532,-0.001417,-0.027389,0.000026,0.499715,0.000000,0.023333,0.261524,0.712276,1.716126,1.752919,582.707770,570.476917
2,C3k2,ok,,2508090,5.174115,6640,0.264743,0.499741,0.023333,"((1, 32, 160, 160))","(1, 64, 160, 160)","NoParamLayerAdapter(target_channels=64, target_hw=(160, 160), multi_input_policy=concat, f=-1, i=2)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L2_C3k2.pt,6640,2501450,6640,0.264743,5.164138,0.009977,0.192832,0.000184,0.499557,0.000000,0.023333,0.261445,1.012617,1.482632,1.511677,674.476270,661.516765
3,Conv,ok,,2508090,5.174115,36992,1.474907,0.499741,0.023333,"((1, 64, 160, 160))","(1, 64, 80, 80)","NoParamLayerAdapter(target_channels=64, target_hw=(80, 80), multi_input_policy=concat, f=-1, i=3)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L3_Conv.pt,36992,2471098,36992,1.474907,5.113765,0.060350,1.166391,0.000001,0.499739,0.000000,0.023333,0.261536,5.639407,1.656274,1.697163,603.764873,589.218746
4,C3k2,ok,,2508090,5.174115,26080,1.039835,0.499741,0.023333,"((1, 64, 80, 80))","(1, 128, 80, 80)","NoParamLayerAdapter(target_channels=128, target_hw=(80, 80), multi_input_policy=concat, f=-1, i=4)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L4_C3k2.pt,26080,2482010,26080,1.039835,5.126540,0.047575,0.919481,0.000001,0.499740,0.000001,0.023332,0.261536,3.975879,1.675121,1.727782,596.971744,578.776810
5,Conv,ok,,2508090,5.174115,147712,5.889422,0.499741,0.023333,"((1, 128, 80, 80))","(1, 128, 40, 40)","NoParamLayerAdapter(target_channels=128, target_hw=(40, 40), multi_input_policy=concat, f=-1, i=5)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L5_Conv.pt,147712,2360378,147712,5.889422,4.902339,0.271776,5.252612,0.000717,0.499024,0.000073,0.023260,0.261142,22.552584,1.674745,1.783177,597.105938,560.796929
6,C3k2,ok,,2508090,5.174115,87040,3.470370,0.499741,0.023333,"((1, 128, 40, 40))","(1, 128, 40, 40)","NoParamLayerAdapter(target_channels=128, target_hw=(40, 40), multi_input_policy=concat, f=-1, i=6)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L6_C3k2.pt,87040,2421050,87040,3.470370,4.996913,0.177202,3.424783,0.000458,0.499282,0.000500,0.022833,0.261058,13.293500,1.633347,1.743538,612.239680,573.546479
7,Conv,ok,,2508090,5.174115,295424,11.778844,0.499741,0.023333,"((1, 128, 40, 40))","(1, 256, 20, 20)","NoParamLayerAdapter(target_channels=256, target_hw=(20, 20), multi_input_policy=concat, f=-1, i=7)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L7_Conv.pt,295424,2212666,295424,11.778844,4.620112,0.554003,10.707198,0.166568,0.333173,0.017588,0.005744,0.169459,69.508687,1.668871,1.753271,599.207445,570.362444
8,C3k2,ok,,2508090,5.174115,346112,13.799824,0.499741,0.023333,"((1, 256, 20, 20))","(1, 256, 20, 20)","NoParamLayerAdapter(target_channels=256, target_hw=(20, 20), multi_input_policy=concat, f=-1, i=8)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L8_C3k2.pt,346112,2161978,346112,13.799824,4.500819,0.673296,13.012775,0.145363,0.354377,0.023405,-0.000072,0.177152,77.898028,1.686608,1.764544,592.906017,566.718801
9,SPPF,ok,,2508090,5.174115,164608,6.563082,0.499741,0.023333,"((1, 256, 20, 20))","(1, 256, 20, 20)","NoParamLayerAdapter(target_channels=256, target_hw=(20, 20), multi_input_policy=concat, f=-1, i=9)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L9_SPPF.pt,164608,2343482,164608,6.563082,4.866111,0.308004,5.952793,0.435131,0.064609,0.026311,-0.002978,0.030816,212.976906,1.697177,1.721028,589.213725,581.047906
10,C2PSA,ok,,2508090,5.174115,249728,9.956899,0.499741,0.023333,"((1, 256, 20, 20))","(1, 256, 20, 20)","NoParamLayerAdapter(target_channels=256, target_hw=(20, 20), multi_input_policy=concat, f=-1, i=10)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L10_C2PSA.pt,249728,2258362,249728,9.956899,4.688457,0.485659,9.386313,0.030977,0.468764,0.006750,0.016583,0.242673,41.030082,1.654098,1.775471,604.559151,563.230904
11,Upsample,ok,,2508090,5.174115,0,0.000000,0.499741,0.023333,"((1, 256, 20, 20))","(1, 256, 40, 40)","NoParamLayerAdapter(target_channels=256, target_hw=(40, 40), multi_input_policy=concat, f=-1, i=11)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L11_Upsample.pt,0,2508090,0,0.000000,5.190099,-0.015984,-0.308914,0.499741,0.000000,0.023333,0.000000,0.000000,0.000000,1.682735,1.813228,594.270565,551.502491
12,Concat,ok,,2508090,5.174115,0,0.000000,0.499741,0.023333,"([(1, 256, 40, 40), (1, 128, 40, 40)])","(1, 384, 40, 40)","NoParamLayerAdapter(target_channels=384, target_hw=(40, 40), multi_input_policy=concat, f=[-1, 6], i=12)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L12_Concat.pt,0,2508090,0,0.000000,5.188790,-0.014675,-0.283626,0.499741,0.000000,0.023333,0.000000,0.000000,0.000000,1.679332,1.799520,595.474750,555.703696
13,C3k2,ok,,2508090,5.174115,119808,4.776862,0.499741,0.023333,"((1, 384, 40, 40))","(1, 128, 40, 40)","NoParamLayerAdapter(target_channels=128, target_hw=(40, 40), multi_input_policy=concat, f=-1, i=13)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L13_C3k2.pt,119808,2388282,119808,4.776862,4.935046,0.239069,4.620481,0.017158,0.482583,0.000000,0.023333,0.252958,18.884017,1.676345,1.729056,596.535969,578.350278
14,Upsample,ok,,2508090,5.174115,0,0.000000,0.499741,0.023333,"((1, 128, 40, 40))","(1, 128, 80, 80)","NoParamLayerAdapter(target_channels=128, target_hw=(80, 80), multi_input_policy=concat, f=-1, i=14)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L14_Upsample.pt,0,2508090,0,0.000000,5.190099,-0.015984,-0.308914,0.499741,0.000000,0.023333,0.000000,0.000000,0.000000,1.725575,1.775016,579.517041,563.375350
15,Concat,ok,,2508090,5.174115,0,0.000000,0.499741,0.023333,"([(1, 128, 80, 80), (1, 128, 80, 80)])","(1, 256, 80, 80)","NoParamLayerAdapter(target_channels=256, target_hw=(80, 80), multi_input_policy=concat, f=[-1, 4], i=15)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L15_Concat.pt,0,2508090,0,0.000000,5.188790,-0.014675,-0.283626,0.499741,0.000000,0.023333,0.000000,0.000000,0.000000,1.709542,1.771248,584.952074,564.573607
16,C3k2,ok,,2508090,5.174115,34304,1.367734,0.499741,0.023333,"((1, 256, 80, 80))","(1, 64, 80, 80)","NoParamLayerAdapter(target_channels=64, target_hw=(80, 80), multi_input_policy=concat, f=-1, i=16)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L16_C3k2.pt,34304,2473786,34304,1.367734,5.099841,0.074274,1.435493,0.101128,0.398613,0.000000,0.023333,0.210973,6.482987,1.643238,1.684885,608.554677,593.512367
17,Conv,ok,,2508090,5.174115,36992,1.474907,0.499741,0.023333,"((1, 64, 80, 80))","(1, 64, 40, 40)","NoParamLayerAdapter(target_channels=64, target_hw=(40, 40), multi_input_policy=concat, f=-1, i=17)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L17_Conv.pt,36992,2471098,36992,1.474907,5.114444,0.059671,1.153268,0.179908,0.319833,0.010370,0.012963,0.166398,8.863728,1.672025,1.694810,598.077281,590.036473
18,Concat,ok,,2508090,5.174115,0,0.000000,0.499741,0.023333,"([(1, 64, 40, 40), (1, 128, 40, 40)])","(1, 192, 40, 40)","NoParamLayerAdapter(target_channels=192, target_hw=(40, 40), multi_input_policy=concat, f=[-1, 13], i=18)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L18_Concat.pt,0,2508090,0,0.000000,5.188790,-0.014675,-0.283626,0.499741,0.000000,0.023333,0.000000,0.000000,0.000000,1.823782,1.789150,548.311279,558.924502
19,C3k2,ok,,2508090,5.174115,95232,3.796993,0.499741,0.023333,"((1, 192, 40, 40))","(1, 128, 40, 40)","NoParamLayerAdapter(target_channels=128, target_hw=(40, 40), multi_input_policy=concat, f=-1, i=19)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L19_C3k2.pt,95232,2412858,95232,3.796993,4.981921,0.192194,3.714529,0.062571,0.437169,0.005402,0.017931,0.227550,16.686409,1.666396,1.744911,600.097368,573.095046
20,Conv,ok,,2508090,5.174115,147712,5.889422,0.499741,0.023333,"((1, 128, 40, 40))","(1, 128, 20, 20)","NoParamLayerAdapter(target_channels=128, target_hw=(20, 20), multi_input_policy=concat, f=-1, i=20)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L20_Conv.pt,147712,2360378,147712,5.889422,4.903018,0.271097,5.239489,0.350945,0.148795,0.021892,0.001441,0.075118,78.401987,1.699567,1.798644,588.385167,555.974317
21,Concat,ok,,2508090,5.174115,0,0.000000,0.499741,0.023333,"([(1, 128, 20, 20), (1, 256, 20, 20)])","(1, 384, 20, 20)","NoParamLayerAdapter(target_channels=384, target_hw=(20, 20), multi_input_policy=concat, f=[-1, 10], i=21)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L21_Concat.pt,0,2508090,0,0.000000,5.188790,-0.014675,-0.283626,0.499741,0.000000,0.023333,0.000000,0.000000,0.000000,1.748437,1.804520,571.939488,554.164047
22,C3k2,ok,,2508090,5.174115,463104,18.464409,0.499741,0.023333,"((1, 384, 20, 20))","(1, 256, 20, 20)","NoParamLayerAdapter(target_channels=256, target_hw=(20, 20), multi_input_policy=concat, f=-1, i=22)",/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L22_C3k2.pt,463104,2044986,463104,18.464409,4.275134,0.898981,17.374586,0.341651,0.158090,0.020236,0.003097,0.080593,229.105855,1.667331,1.749606,599.760829,571.557268
