layer_id,layer_type,layer_params,params_percent,ad_gen_map50_95,ad_snow_map50_95,combined_sensitivity,swp_score,amount
7,Conv,295424,11.778844,0.009344,0.001437,0.005390,2185.162273,0.5
20,Conv,147712,5.889422,0.012386,0.000239,0.006312,933.016650,0.5
5,Conv,147712,5.889422,0.027628,0.013009,0.020318,289.862120,0.5
9,SPPF,164608,6.563082,0.043970,0.002094,0.023032,284.955677,0.5
22,C3k2,463104,18.464409,0.158643,0.000494,0.079569,232.055822,0.5
8,C3k2,346112,13.799824,0.193924,0.013309,0.103616,133.181804,0.5
10,C2PSA,249728,9.956899,0.151723,0.002493,0.077108,129.129217,0.5
17,Conv,36992,1.474907,0.068402,0.002328,0.035365,41.705406,0.5
13,C3k2,119808,4.776862,0.319847,0.015890,0.167869,28.455973,0.5
19,C3k2,95232,3.796993,0.390241,0.010228,0.200235,18.962720,0.5
3,Conv,36992,1.474907,0.144149,0.019301,0.081725,18.047192,0.5
6,C3k2,87040,3.470370,0.492124,0.020819,0.256472,13.531204,0.5
16,C3k2,34304,1.367734,0.258426,0.019361,0.138894,9.847355,0.5
4,C3k2,26080,1.039835,0.506612,0.020819,0.263715,3.943021,0.5
2,C3k2,6640,0.264743,0.506178,0.020819,0.263498,1.004724,0.5
1,Conv,4672,0.186277,0.467113,0.020731,0.243922,0.763675,0.5
0,Conv,464,0.018500,0.224697,0.019432,0.122065,0.151560,0.5
