layer_id,layer_type,amount,total_model_params,layer_params,params_percent,gen_baseline_map50_95,gen_pruned_map50_95,ad_gen_map50_95,snow_baseline_map50_95,snow_pruned_map50_95,ad_snow_map50_95,combined_sensitivity,swp_score,gen_latency_ms,snow_latency_ms,gen_fps,snow_fps
20,Conv,0.5,2508090,147712,5.889422,0.506632,0.494247,0.012386,0.020819,0.020580,0.000239,0.006312,933.016650,1.292129,1.158235,773.916331,863.383002
7,Conv,0.5,2508090,295424,11.778844,0.506632,0.497288,0.009344,0.020819,0.019382,0.001437,0.005390,2185.162273,1.390213,1.166741,719.314008,857.088316
22,C3k2,0.5,2508090,463104,18.464409,0.506632,0.347989,0.158643,0.020819,0.020325,0.000494,0.079569,232.055822,1.281198,1.119414,780.519237,893.324528
10,C2PSA,0.5,2508090,249728,9.956899,0.506632,0.354910,0.151723,0.020819,0.018326,0.002493,0.077108,129.129217,1.256033,1.162396,796.157196,860.291970
8,C3k2,0.5,2508090,346112,13.799824,0.506632,0.312708,0.193924,0.020819,0.007510,0.013309,0.103616,133.181804,1.244088,1.120983,803.801466,892.074575
17,Conv,0.5,2508090,36992,1.474907,0.506632,0.438231,0.068402,0.020819,0.018491,0.002328,0.035365,41.705406,1.399761,1.099698,714.407426,909.340823
13,C3k2,0.5,2508090,119808,4.776862,0.506632,0.186786,0.319847,0.020819,0.004929,0.015890,0.167869,28.455973,1.253217,1.097738,797.946539,910.964262
6,C3k2,0.5,2508090,87040,3.470370,0.506632,0.014508,0.492124,0.020819,0.000000,0.020819,0.256472,13.531204,1.309309,1.107729,763.761422,902.747591
9,SPPF,0.5,2508090,164608,6.563082,0.506632,0.462662,0.043970,0.020819,0.018725,0.002094,0.023032,284.955677,1.267901,1.126153,788.704999,887.978748
5,Conv,0.5,2508090,147712,5.889422,0.506632,0.479005,0.027628,0.020819,0.007811,0.013009,0.020318,289.862120,1.304548,1.081892,766.548871,924.307075
19,C3k2,0.5,2508090,95232,3.796993,0.506632,0.116391,0.390241,0.020819,0.010591,0.010228,0.200235,18.962720,1.282415,1.144288,779.778876,873.905724
4,C3k2,0.5,2508090,26080,1.039835,0.506632,0.000021,0.506612,0.020819,0.000000,0.020819,0.263715,3.943021,1.311641,1.136669,762.403707,879.763587
16,C3k2,0.5,2508090,34304,1.367734,0.506632,0.248206,0.258426,0.020819,0.001458,0.019361,0.138894,9.847355,1.297094,1.119629,770.953899,893.153397
3,Conv,0.5,2508090,36992,1.474907,0.506632,0.362484,0.144149,0.020819,0.001518,0.019301,0.081725,18.047192,1.265803,1.102992,790.012167,906.625258
2,C3k2,0.5,2508090,6640,0.264743,0.506632,0.000455,0.506178,0.020819,0.000000,0.020819,0.263498,1.004724,1.265092,1.082118,790.456468,924.113760
1,Conv,0.5,2508090,4672,0.186277,0.506632,0.039520,0.467113,0.020819,0.000088,0.020731,0.243922,0.763675,1.264516,1.096962,790.816513,911.608636
0,Conv,0.5,2508090,464,0.018500,0.506632,0.281935,0.224697,0.020819,0.001387,0.019432,0.122065,0.151560,1.244347,1.116003,803.634575,896.054794
