layer_id,layer_type,layer_params,params_percent,gen_baseline_map50_95,gen_deleted_map50_95,ad_gen_map50_95,mode,adapter_details
14,Upsample,0,0.000000,0.506632,0.390821,0.115811,zero,
20,Conv,147712,5.889422,0.506632,0.351422,0.155210,zero,
21,Concat,0,0.000000,0.506632,0.347605,0.159027,zero,
22,C3k2,463104,18.464409,0.506632,0.347605,0.159027,zero,
11,Upsample,0,0.000000,0.506632,0.268282,0.238350,zero,
17,Conv,36992,1.474907,0.506632,0.225375,0.281257,zero,
7,Conv,295424,11.778844,0.506632,0.197890,0.308742,zero,
9,SPPF,164608,6.563082,0.506632,0.153238,0.353395,zero,
10,C2PSA,249728,9.956899,0.506632,0.140040,0.366592,zero,
15,Concat,0,0.000000,0.506632,0.135880,0.370752,zero,
8,C3k2,346112,13.799824,0.506632,0.132066,0.374566,zero,
16,C3k2,34304,1.367734,0.506632,0.131581,0.375051,zero,
19,C3k2,95232,3.796993,0.506632,0.083707,0.422925,zero,
18,Concat,0,0.000000,0.506632,0.082612,0.424021,zero,
13,C3k2,119808,4.776862,0.506632,0.045171,0.461461,zero,
12,Concat,0,0.000000,0.506632,0.019659,0.486973,zero,
6,C3k2,87040,3.470370,0.506632,0.001150,0.505483,zero,
5,Conv,147712,5.889422,0.506632,0.000318,0.506314,zero,
4,C3k2,26080,1.039835,0.506632,0.000001,0.506631,zero,
0,Conv,464,0.018500,0.506632,0.000000,0.506632,zero,
1,Conv,4672,0.186277,0.506632,0.000000,0.506632,zero,
2,C3k2,6640,0.264743,0.506632,0.000000,0.506632,zero,
3,Conv,36992,1.474907,0.506632,0.000000,0.506632,zero,
