layer_id,layer_type,layer_params,params_percent,ad_gen_map50_95,ad_snow_map50_95,combined_sensitivity,deletion_score,mode,adapter_details
22,C3k2,463104,18.464409,0.159027,0.000494,0.079761,231.497207,zero,
20,Conv,147712,5.889422,0.155210,0.000494,0.077852,75.648764,zero,
7,Conv,295424,11.778844,0.308742,0.012222,0.160482,73.396772,zero,
8,C3k2,346112,13.799824,0.374566,0.010034,0.192300,71.761980,zero,
10,C2PSA,249728,9.956899,0.366592,0.000461,0.183527,54.253118,zero,
9,SPPF,164608,6.563082,0.353395,0.003629,0.178512,36.765484,zero,
5,Conv,147712,5.889422,0.506314,0.020819,0.263567,22.345096,zero,
13,C3k2,119808,4.776862,0.461461,0.010003,0.235732,20.263919,zero,
19,C3k2,95232,3.796993,0.422925,0.010225,0.216575,17.532003,zero,
6,C3k2,87040,3.470370,0.505483,0.020819,0.263151,13.187760,zero,
17,Conv,36992,1.474907,0.281257,0.010225,0.145741,10.120040,zero,
16,C3k2,34304,1.367734,0.375051,0.020680,0.197866,6.912434,zero,
3,Conv,36992,1.474907,0.506632,0.020819,0.263726,5.592580,zero,
4,C3k2,26080,1.039835,0.506631,0.020819,0.263725,3.942875,zero,
2,C3k2,6640,0.264743,0.506632,0.020819,0.263726,1.003859,zero,
1,Conv,4672,0.186277,0.506632,0.020819,0.263726,0.706329,zero,
0,Conv,464,0.018500,0.506632,0.020819,0.263726,0.070149,zero,
11,Upsample,0,0.000000,0.238350,-0.000067,0.119141,0.000000,zero,
12,Concat,0,0.000000,0.486973,0.016489,0.251731,0.000000,zero,
14,Upsample,0,0.000000,0.115811,0.002285,0.059048,0.000000,zero,
15,Concat,0,0.000000,0.370752,0.020486,0.195619,0.000000,zero,
18,Concat,0,0.000000,0.424021,0.010225,0.217123,0.000000,zero,
21,Concat,0,0.000000,0.159027,0.000494,0.079761,0.000000,zero,
