group_id,root_module_path,gen_depgraph_operations,snow_depgraph_operations,gen_physical_status,snow_physical_status,gen_parameters_removed,snow_parameters_removed,final_status,decision_reason
G001,model.0.conv,4,4,PASS,PASS,951,951,VALIDATED_COMMON_GROUP,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
G002,model.1.conv,4,4,PASS,PASS,534,534,VALIDATED_COMMON_GROUP,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
G003,model.10.cv1.conv,13,13,FAIL,FAIL,2830,2830,CUSTOM_RULE_REQUIRED,C2PSA paired split and static-attribute rule required
G004,model.10.cv2.conv,8,8,PASS,PASS,1926,1926,VALIDATED_COMMON_GROUP,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
G005,model.10.m.0.ffn.0.conv,4,4,PASS,PASS,774,774,VALIDATED_COMMON_GROUP,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
G006,model.10.m.0.ffn.1.conv,13,13,FAIL,NOT_RUN_AFTER_MATCHED_STRUCTURAL_FAILURE,3474,,CUSTOM_RULE_REQUIRED,C2PSA paired split and static-attribute rule required
G007,model.13.cv1.conv,9,9,FAIL,NOT_RUN_AFTER_MATCHED_STRUCTURAL_FAILURE,1608,,CUSTOM_RULE_REQUIRED,C3k2 split/residual-aware paired rule required
G008,model.13.cv2.conv,8,8,PASS,PASS,1158,1158,VALIDATED_COMMON_GROUP,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
G009,model.13.m.0.cv1.conv,15,15,PASS,PASS,3858,3858,VALIDATED_COMMON_GROUP,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
G010,model.13.m.0.cv2.conv,5,5,PASS,PASS,390,390,VALIDATED_COMMON_GROUP,"DepGraph matched; physical prune, 640-pixel forward, save and reload passed on GEN and SNOW"
