dataset_id,split,file_name,source_relative_path,view_relative_path,sha256,exact_hash_group_size,object_count,class_ids_present
mio_full_s42_v1,train,00000000.jpg,train/00000000.jpg,images/train/00000000.jpg,d9f5324819e30f6db767b935a8e51fb91008e7b5c24dfe03de4cc1be41925cef,1,5,0;3;8
mio_full_s42_v1,train,00000001.jpg,train/00000001.jpg,images/train/00000001.jpg,7584a68129f08bbf4d2204dac67b5076750525f942bc7b0f63d5255be1e10e9d,1,6,2;3
mio_full_s42_v1,test,00000002.jpg,train/00000002.jpg,images/test/00000002.jpg,0861469b23af222306dfda27f70fbb0586525f8fc8769e9d2eb173f9577bbc2e,1,1,5
mio_full_s42_v1,train,00000003.jpg,train/00000003.jpg,images/train/00000003.jpg,da87ef62b293c7a34f622b3a91a67c6ad3c9f87dedc2406708f393bda516e239,1,2,3
mio_full_s42_v1,test,00000004.jpg,train/00000004.jpg,images/test/00000004.jpg,fbcfb9d152d454006418cf6d0be01b1e4f25c786893b865d51e4c6ac171f3424,1,1,2
mio_full_s42_v1,train,00000005.jpg,train/00000005.jpg,images/train/00000005.jpg,37c1b3f9147142b23acfc1eee6dff32bc0f58ea65eef9e8301bba058121432d8,2,2,0;3
mio_full_s42_v1,train,00000006.jpg,train/00000006.jpg,images/train/00000006.jpg,114b9be405331f52fa8a63f431bb1961aa448a6a17a99b91ee5e0d342fc80fa3,1,1,3
mio_full_s42_v1,train,00000007.jpg,train/00000007.jpg,images/train/00000007.jpg,1d2993f80b157052d250791e0be4074c2e001f3fbe8095595ef70d0d645b64cc,1,1,3
mio_full_s42_v1,train,00000008.jpg,train/00000008.jpg,images/train/00000008.jpg,1aa86a74b8fcee2104d1d8e687e36cbb24291c99d61796412710a1a26ef9aeff,1,1,8
mio_full_s42_v1,train,00000009.jpg,train/00000009.jpg,images/train/00000009.jpg,386fb8dbd5c383471d8e2558e5fe799fe5d3d49996e45cbcad50081a6ac359c5,1,7,3
mio_full_s42_v1,train,00000010.jpg,train/00000010.jpg,images/train/00000010.jpg,d13fcd9dc2aa4a8e9346818cdcf7c61101ebd8e1abcb02f94e4f880d5fba66ac,1,1,3
mio_full_s42_v1,test,00000011.jpg,train/00000011.jpg,images/test/00000011.jpg,7ca385a973fcb265f8363d5e1c3f1b9bbb216318bfe5a35a8c6fd703ecafb867,1,5,3
mio_full_s42_v1,val,00000012.jpg,train/00000012.jpg,images/val/00000012.jpg,cd0801ebd6d5e322e3a900158f21505e9d0e8e1c5f2e21e903b0e16ddacee3f5,1,8,3;8
mio_full_s42_v1,train,00000013.jpg,train/00000013.jpg,images/train/00000013.jpg,d683f9a44de0ef45fbdb77bb491bc975dd21044452bad65a086aa84afc00e200,1,3,3
mio_full_s42_v1,train,00000014.jpg,train/00000014.jpg,images/train/00000014.jpg,3d297e178d10d8074bfbdf80b7614a4e0c84bafacfd857dc1c5e3c8552e4c78f,1,5,2;3;8
mio_full_s42_v1,train,00000015.jpg,train/00000015.jpg,images/train/00000015.jpg,7167d24e11f681f951d858e2a46486fa799a39a00ecb8cb7ac2c73ce556ea46e,2,5,0;3;5;10
mio_full_s42_v1,train,00000016.jpg,train/00000016.jpg,images/train/00000016.jpg,a2c88fb5ec58b04c1ffb5c2053c06ced8d6bf34d206f779be0387519ec9b176d,1,6,0;3
mio_full_s42_v1,train,00000017.jpg,train/00000017.jpg,images/train/00000017.jpg,4736f3b63ee6a582a1dad54ab5956c5eba93a2e76356cbbddd4d69c6f9309fec,1,1,3
mio_full_s42_v1,test,00000018.jpg,train/00000018.jpg,images/test/00000018.jpg,9210c094b32394cb1284ce76fd16cc8abe7eb7855e1ff558f4bf7abcc1e989b5,1,2,3
mio_full_s42_v1,train,00000019.jpg,train/00000019.jpg,images/train/00000019.jpg,ec35b2fd15d888fb3d926c34e348886f522cbdde6a94ee1081d8d3dbc30057e8,1,4,2;3;5
