rank_by_P_GP_descending,ratio_percent,group_id,group_kind,representative_root,isolated_accuracy_feasible,budget_violation,parameters_removed,gflops_removed,mean_baseline_parameters,mean_baseline_gflops,parameter_reduction_fraction,gflop_reduction_fraction,combined_resource_benefit_B,diminishing_resource_B_power_q,gen_protected_sensitivity_S_GP,normalized_sensitivity_S_GP_over_tau,accuracy_penalty_1_plus_S_over_tau_squared,feasible_tradeoff_utility_U,gen_protected_prunability_P_GP,GEN_record_path,SNOW_record_path
1,25.0,DG025,GENERIC,model.22.m.0.0.cv1.conv,True,NONE,36896,0.029542399999999525,2507505.0,5.7900544,0.014714227887880583,0.0051022663966679704,0.009908247142274278,0.09954017853246135,0.033265911888515465,0.6653182377703093,1.44264835750979,0.06899822677806353,0.06899822677806353,Pruning_Study/results/pruning/prune_25/runs/GEN_DG025.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG025.json
2,25.0,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,True,NONE,16512,0.013311999999999102,2507505.0,5.7900544,0.006585031734732334,0.002299114840786142,0.004442073287759238,0.06664888061895141,0.0008322231362594349,0.016644462725188696,1.0002770381394102,0.06663042145096452,0.06663042145096452,Pruning_Study/results/pruning/prune_25/runs/GEN_DG026.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG026.json
3,25.0,DG004,GENERIC,model.10.m.0.ffn.0.conv,True,NONE,16512,0.013311999999999102,2507505.0,5.7900544,0.006585031734732334,0.002299114840786142,0.004442073287759238,0.06664888061895141,0.017080379887227697,0.3416075977445539,1.116695750836805,0.059684010231979064,0.059684010231979064,Pruning_Study/results/pruning/prune_25/runs/GEN_DG004.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG004.json
4,25.0,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,True,NONE,18464,0.014796799999999166,2507505.0,5.7900544,0.007363494788644489,0.002555554573027702,0.004959524680836096,0.07042389282648394,0.029680244619855883,0.5936048923971177,1.3523667682777936,0.052074551429688754,0.052074551429688754,Pruning_Study/results/pruning/prune_25/runs/GEN_DG040.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG040.json
5,25.0,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,True,NONE,4624,0.014847999999998862,2507505.0,5.7900544,0.0018440641195132212,0.002564397322415289,0.002204230720964255,0.046949235573800936,0.008527679186052215,0.1705535837210443,1.0290885249200912,0.04562215439866706,0.04562215439866706,Pruning_Study/results/pruning/prune_25/runs/GEN_DG019.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG019.json
6,25.0,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,True,NONE,4624,0.014847999999998862,2507505.0,5.7900544,0.0018440641195132212,0.002564397322415289,0.002204230720964255,0.046949235573800936,0.016636531562655037,0.3327306312531007,1.1107096729740868,0.042269583777088685,0.042269583777088685,Pruning_Study/results/pruning/prune_25/runs/GEN_DG034.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG034.json
7,25.0,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,True,NONE,4624,0.014847999999998862,2507505.0,5.7900544,0.0018440641195132212,0.002564397322415289,0.002204230720964255,0.046949235573800936,0.017252239851823382,0.3450447970364676,1.1190559119619372,0.04195432513420101,0.04195432513420101,Pruning_Study/results/pruning/prune_25/runs/GEN_DG008.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG008.json
8,25.0,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,True,NONE,4624,0.014847999999998862,2507505.0,5.7900544,0.0018440641195132212,0.002564397322415289,0.002204230720964255,0.046949235573800936,0.021413028857063407,0.42826057714126814,1.1834071219333722,0.039672936476077975,0.039672936476077975,Pruning_Study/results/pruning/prune_25/runs/GEN_DG009.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG009.json
9,25.0,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,True,NONE,1160,0.01495040000000003,2507505.0,5.7900544,0.00046261124105435484,0.0025820828211907698,0.0015223470311225623,0.03901726580787744,0.006036332417832281,0.12072664835664562,1.0145749236234292,0.03845676144698323,0.03845676144698323,Pruning_Study/results/pruning/prune_25/runs/GEN_DG014.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG014.json
10,25.0,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,True,NONE,4624,0.014847999999998862,2507505.0,5.7900544,0.0018440641195132212,0.002564397322415289,0.002204230720964255,0.046949235573800936,0.025811510245139495,0.5162302049027898,1.2664936244539764,0.037070250230467734,0.037070250230467734,Pruning_Study/results/pruning/prune_25/runs/GEN_DG035.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG035.json
