candidate_id,replaced_layers,layer_types,combination_size,estimated_gen_reduction_percent,estimated_snow_reduction_percent,estimated_mean_reduction_percent,estimated_target_distance_percentage_points
C001,"0,2,10","Conv,C3k2,C2PSA",3,10.240142897583421,10.244922055749685,10.242532476666554,0.0074675233334460245
C002,"2,10","C3k2,C2PSA",2,10.221642764015646,10.226413288018763,10.224028026017205,0.02597197398279505
C003,"1,6,9","Conv,C3k2,SPPF",3,10.219728957094842,10.22449858790867,10.222113772501757,0.027886227498242988
C004,"2,6,9","C3k2,C3k2,SPPF",3,10.298195040847817,10.303001292422575,10.300598166635197,0.05059816663519712
C005,"0,1,10","Conv,Conv,C2PSA",3,10.161676813830445,10.16641935123578,10.164048082533112,0.0859519174668879
C006,"1,10","Conv,C2PSA",2,10.14317668026267,10.147910583504858,10.145543631883765,0.10445636811623515
C007,"9,19","SPPF,C3k2",2,10.360074797953821,10.364909929315655,10.362492363634738,0.11249236363473791
C008,"0,9,19","Conv,SPPF,C3k2",3,10.378574931521596,10.383418697046576,10.380996814284085,0.13099681428408516
C009,"4,5,6","C3k2,Conv,C3k2",3,10.399626807650444,10.404480398257622,10.402053602954034,0.1520536029540338
C010,"4,6,20","C3k2,C3k2,Conv",3,10.399626807650444,10.404480398257622,10.402053602954034,0.1520536029540338
C011,"1,2,10","Conv,C3k2,C2PSA",3,10.407919970973929,10.412777432068035,10.41034870152098,0.1603487015209808
C012,"0,6,9","Conv,C3k2,SPPF",3,10.051951883704334,10.056643211590318,10.054297547647327,0.19570245235267336
C013,"3,13,19","Conv,C3k2,C3k2",3,10.048762205502992,10.05345204474016,10.051107125121575,0.19889287487842466
C014,"13,17,19","C3k2,Conv,C3k2",3,10.048762205502992,10.05345204474016,10.051107125121575,0.19889287487842466
C015,"6,9","C3k2,SPPF",2,10.033451750136559,10.038134443859398,10.035793096997978,0.2142069030020224
C016,"0,10","Conv,C2PSA",2,9.975399606872163,9.980055207186508,9.977727407029334,0.27227259297066553
C017,10,C2PSA,1,9.956899473304388,9.961546439455587,9.959222956379987,0.2907770436200128
C018,"2,5,19","C3k2,Conv,C3k2",3,9.951158052541974,9.9558023391253,9.953480195833638,0.2965198041663619
C019,"2,19,20","C3k2,C3k2,Conv",3,9.951158052541974,9.9558023391253,9.953480195833638,0.2965198041663619
C020,"1,9,19","Conv,SPPF,C3k2",3,10.546352004912105,10.551274073364926,10.548813039138516,0.29881303913851553
C021,"13,16,19","C3k2,C3k2,C3k2",3,9.941589017937954,9.946228838574825,9.94390892825639,0.3060910717436105
C022,"1,5,19","Conv,Conv,C3k2",3,9.872691968788999,9.877299634611395,9.874995801700198,0.375004198299802
C023,"1,19,20","Conv,C3k2,Conv",3,9.872691968788999,9.877299634611395,9.874995801700198,0.375004198299802
C024,"2,9,19","C3k2,SPPF,C3k2",3,10.62481808866508,10.629776777878831,10.627297433271956,0.37729743327195564
C025,"5,13","Conv,C3k2",2,10.666283905282507,10.671261946930896,10.668772926106701,0.41877292610670125
C026,"13,20","C3k2,Conv",2,10.666283905282507,10.671261946930896,10.668772926106701,0.41877292610670125
C027,"0,5,13","Conv,Conv,C3k2",3,10.684784038850282,10.689770714661817,10.68727737675605,0.4372773767560503
C028,"0,13,20","Conv,C3k2,Conv",3,10.684784038850282,10.689770714661817,10.68727737675605,0.4372773767560503
C029,"4,5,19","C3k2,Conv,C3k2",3,10.726249855467707,10.73125588371388,10.728752869590792,0.47875286959079233
C030,"4,19,20","C3k2,C3k2,Conv",3,10.726249855467707,10.73125588371388,10.728752869590792,0.47875286959079233
C031,"5,6,16","Conv,C3k2,C3k2",3,10.727525726748244,10.732532350453944,10.730029038601094,0.4800290386010939
C032,"6,16,20","C3k2,C3k2,Conv",3,10.727525726748244,10.732532350453944,10.730029038601094,0.4800290386010939
