candidate,layers,layer_types,domain,phase,model_path,model_sha256,model_mib,parameters,baseline_parameters,parameters_reduced,parameter_reduction_percent,map50_95,map50,map75,precision,recall,latency_ms,fps,signed_ad_vs_baseline_map50_95,negative_ad_retained,accuracy_retained_percent,recovery_gain_over_raw_map50_95,training_run_dir
C007,"9,19","SPPF,C3k2",SNOW,baseline,/home/afm176/yolo_project/5_reproduction/reproducing_files_for_hoyin/models/SNOW_baseline_best.pt,5c9bceba2872e98ee1beb967e10e4ca10e17bea6a8f8200e306bcdae067bdb68,5.125120162963867,2506920,2506920,0,0.0,0.1899135424242684,0.324111751802454,0.18330102208122953,0.5726809138572879,0.2530735194640704,4.270413378253579,234.16936755873462,0.0,False,100.0,,
C007,"9,19","SPPF,C3k2",SNOW,raw_replaced,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C007_layers_9-19.pt,84064337124810bbf7a58144615fd73ddbe38b1a0860fdef5fb638bd18e6503c,4.665675163269043,2247080,2506920,259840,10.364909929315655,0.07606407328800945,0.1543771524076242,0.06713168744459373,0.7351713210725462,0.12299203945775139,1.0146315768361092,985.5794190027731,0.11384946913625894,False,40.05194801647251,,
C007,"9,19","SPPF,C3k2",SNOW,recovered_best,/home/afm176/yolo_project/5_reproduction/stage4_results/recovery_C007_L9_20260729_192450/training_runs/C007_SNOW_recovery20e/weights/best.pt,f4da4755c5be0dd4cb0da4a31a20ec6dd5f98ebd549e363f8152a558cdca7bb6,4.598891258239746,2247080,2506920,259840,10.364909929315655,0.18068316525848274,0.3207731576061357,0.18617478333907497,0.4303318165084805,0.33918555995737587,4.506459515541792,221.90369103532808,0.009230377165785647,False,95.13969512233894,0.1046190919704733,/home/afm176/yolo_project/5_reproduction/stage4_results/recovery_C007_L9_20260729_192450/training_runs/C007_SNOW_recovery20e
L9,9,SPPF,SNOW,baseline,/home/afm176/yolo_project/5_reproduction/reproducing_files_for_hoyin/models/SNOW_baseline_best.pt,5c9bceba2872e98ee1beb967e10e4ca10e17bea6a8f8200e306bcdae067bdb68,5.125120162963867,2506920,2506920,0,0.0,0.1899135424242684,0.324111751802454,0.18330102208122953,0.5726809138572879,0.2530735194640704,4.270413378253579,234.16936755873462,0.0,False,100.0,,
L9,9,SPPF,SNOW,raw_replaced,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L9_SPPF.pt,f403907c633ebdf21116a67a3f8a8299a64093054f1a6186afbee51c81234fba,4.871674537658691,2342312,2506920,164608,6.566144910886666,0.1558421015730203,0.2870702211029481,0.13705245158980817,0.7883954060699578,0.23196068978402967,1.0470117535442114,955.0991157596147,0.03407144085124808,False,82.05949906661621,,
L9,9,SPPF,SNOW,recovered_best,/home/afm176/yolo_project/5_reproduction/stage4_results/recovery_C007_L9_20260729_192450/training_runs/L9_SNOW_recovery20e/weights/best.pt,6278d728ba2c575a92713769c8a4ebd9018f8717706d7b0ef4530d96ae28732d,4.801209449768066,2342312,2506920,164608,6.566144910886666,0.19081190248767135,0.3468992623639118,0.1710976305186655,0.45639352956306967,0.33828061857078445,3.663843870162964,272.9373945608444,-0.0008983600634029643,True,100.47303633639567,0.034969800914651045,/home/afm176/yolo_project/5_reproduction/stage4_results/recovery_C007_L9_20260729_192450/training_runs/L9_SNOW_recovery20e
C007,"9,19","SPPF,C3k2",GEN,baseline,/home/afm176/yolo_project/5_reproduction/reproducing_files_for_hoyin/models/GEN_baseline_best.pt,d0250e9ffd459c2c46a01ac81421d95e9e1d0bb35799b5dede30c92e7b94d250,5.135984420776367,2508090,2508090,0,0.0,0.6414207460892849,0.8300363458988546,0.7199083476344472,0.7988991271081674,0.7786299650855113,1.3144568687474185,760.770492951151,0.0,False,100.0,,
C007,"9,19","SPPF,C3k2",GEN,raw_replaced,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C007_layers_9-19.pt,5e95b4042bb4c83a36149b86d5a73af0ad9ade8cfe9b393466daec8bb01ab2e3,4.670973777770996,2248250,2508090,259840,10.360074797953821,0.059044490471699934,0.10867952346933006,0.059970503342713095,0.33362069712794096,0.12762259289027422,1.2048409633677113,829.9850606048867,0.582376255617585,False,9.205266719496008,,
C007,"9,19","SPPF,C3k2",GEN,recovered_best,/home/afm176/yolo_project/5_reproduction/stage4_results/recovery_C007_L9_20260729_192450/training_runs/C007_GEN_recovery20e/weights/best.pt,ac0ed444a67a7899ed9f1accc7bf0c85f36039bd4bee45825e897f2ed6266b1f,4.606215476989746,2248250,2508090,259840,10.360074797953821,0.618427270851961,0.816219060271642,0.6944954934858539,0.7812403479405272,0.7634318752509592,1.2165609160438178,821.9892541443295,0.022993475237323868,False,96.41522738740302,0.5593827803802611,/home/afm176/yolo_project/5_reproduction/stage4_results/recovery_C007_L9_20260729_192450/training_runs/C007_GEN_recovery20e
L9,9,SPPF,GEN,baseline,/home/afm176/yolo_project/5_reproduction/reproducing_files_for_hoyin/models/GEN_baseline_best.pt,d0250e9ffd459c2c46a01ac81421d95e9e1d0bb35799b5dede30c92e7b94d250,5.135984420776367,2508090,2508090,0,0.0,0.6414207460892849,0.8300363458988546,0.7199083476344472,0.7988991271081674,0.7786299650855113,1.3144568687474185,760.770492951151,0.0,False,100.0,,
