epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.843,1.15602,0.79838,0.00503,0.73747,0.71577,0.76188,0.55991,1.00431,0.61593,0.00553,0.000999818,0.000999818,0.000999818
2,1038.16,1.09851,0.67542,0.00432,0.7316,0.73297,0.76963,0.567,0.99257,0.61208,0.0054,0.0009505,0.0009505,0.0009505
3,1544.4,1.0898,0.66686,0.00426,0.76028,0.73908,0.78416,0.58421,0.98215,0.58785,0.00529,0.000901,0.000901,0.000901
4,2051.72,1.08758,0.66192,0.00422,0.76439,0.7482,0.793,0.59231,0.98025,0.58385,0.00525,0.0008515,0.0008515,0.0008515
5,2560.75,1.08064,0.65329,0.0042,0.76487,0.75934,0.79823,0.59556,0.97372,0.57588,0.00519,0.000802,0.000802,0.000802
6,3065.09,1.07671,0.64705,0.00416,0.77211,0.75414,0.80205,0.60164,0.96938,0.57151,0.00514,0.0007525,0.0007525,0.0007525
7,3569.34,1.07119,0.64173,0.00413,0.77797,0.75423,0.80566,0.60512,0.96754,0.56486,0.00512,0.000703,0.000703,0.000703
8,4075.72,1.0696,0.63806,0.0041,0.78016,0.76437,0.81109,0.61079,0.96551,0.5622,0.00509,0.0006535,0.0006535,0.0006535
9,4584.35,1.06516,0.63125,0.00406,0.79004,0.75717,0.81011,0.61133,0.96374,0.56277,0.00507,0.000604,0.000604,0.000604
10,5097.9,1.0627,0.6288,0.00405,0.78853,0.75428,0.81051,0.61163,0.96157,0.56174,0.00505,0.0005545,0.0005545,0.0005545
11,5600.81,1.0583,0.62335,0.00403,0.78739,0.75711,0.81322,0.61406,0.96122,0.55879,0.00504,0.000505,0.000505,0.000505
12,6105.28,1.05415,0.6171,0.004,0.77746,0.76636,0.81414,0.61462,0.95998,0.55843,0.00504,0.0004555,0.0004555,0.0004555
13,6608.14,1.04966,0.61126,0.00398,0.77229,0.76944,0.81406,0.61539,0.95919,0.558,0.00503,0.000406,0.000406,0.000406
14,7118.69,1.04636,0.6064,0.00394,0.78248,0.76455,0.81561,0.61629,0.95901,0.55663,0.00502,0.0003565,0.0003565,0.0003565
15,7627.2,1.04268,0.60235,0.00393,0.78695,0.75925,0.81537,0.61693,0.9586,0.55496,0.00502,0.000307,0.000307,0.000307
16,8143.04,1.04168,0.60051,0.00392,0.77911,0.76864,0.81536,0.61724,0.9585,0.55468,0.00502,0.0002575,0.0002575,0.0002575
17,8649.72,1.03814,0.59482,0.0039,0.78051,0.76651,0.81598,0.6177,0.95805,0.55422,0.00502,0.000208,0.000208,0.000208
18,9156.96,1.03321,0.59,0.00388,0.78451,0.76473,0.8165,0.61831,0.95791,0.55404,0.00502,0.0001585,0.0001585,0.0001585
19,9663.94,1.03269,0.58843,0.00387,0.7832,0.76167,0.816,0.61839,0.95766,0.55366,0.00501,0.000109,0.000109,0.000109
20,10176.2,1.02921,0.58426,0.00384,0.78134,0.76358,0.81565,0.61825,0.95719,0.55426,0.00501,5.95e-05,5.95e-05,5.95e-05
