epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,540.534,1.05142,0.64469,0.00401,0.76111,0.74121,0.78516,0.59394,0.97831,0.60231,0.00523,0.000999818,0.000999818,0.000999818
2,1059.53,1.06747,0.65683,0.00407,0.76644,0.74112,0.78993,0.59553,0.97535,0.59504,0.00522,0.0009505,0.0009505,0.0009505
3,1580.3,1.06318,0.65068,0.00406,0.77376,0.74632,0.79653,0.6077,0.96837,0.5812,0.00513,0.000901,0.000901,0.000901
4,2099.57,1.06184,0.64755,0.00403,0.78934,0.74364,0.80152,0.611,0.96467,0.57718,0.00507,0.0008515,0.0008515,0.0008515
5,2620.92,1.05607,0.64172,0.00402,0.78519,0.75253,0.80675,0.61592,0.96118,0.57107,0.00506,0.000802,0.000802,0.000802
6,3149.31,1.05446,0.63811,0.00399,0.7896,0.76176,0.8137,0.61989,0.95802,0.56376,0.00502,0.0007525,0.0007525,0.0007525
7,3664.51,1.05005,0.63375,0.00398,0.80195,0.75679,0.81806,0.62594,0.95516,0.56136,0.00499,0.000703,0.000703,0.000703
8,4182.81,1.04897,0.63132,0.00395,0.80256,0.76249,0.8194,0.62765,0.95352,0.55503,0.00497,0.0006535,0.0006535,0.0006535
9,4709.89,1.04451,0.62285,0.00391,0.79968,0.76774,0.81852,0.62865,0.95169,0.55689,0.00495,0.000604,0.000604,0.000604
10,5233.06,1.04226,0.61996,0.0039,0.80269,0.76704,0.82102,0.63002,0.95059,0.55501,0.00494,0.0005545,0.0005545,0.0005545
11,5752.31,1.03852,0.615,0.00388,0.79776,0.7692,0.82121,0.63001,0.95028,0.55394,0.00493,0.000505,0.000505,0.000505
12,6274.23,1.03497,0.61026,0.00387,0.80238,0.77071,0.82196,0.63236,0.94936,0.55288,0.00492,0.0004555,0.0004555,0.0004555
13,6800.12,1.03094,0.60243,0.00385,0.79247,0.77869,0.8221,0.63232,0.94889,0.55146,0.00492,0.000406,0.000406,0.000406
14,7326.06,1.02719,0.59926,0.00381,0.7937,0.77541,0.82205,0.63258,0.94829,0.55122,0.00491,0.0003565,0.0003565,0.0003565
15,7852.14,1.02365,0.59543,0.0038,0.797,0.77461,0.8224,0.63362,0.94783,0.55083,0.00491,0.000307,0.000307,0.000307
16,8372.11,1.02311,0.594,0.00379,0.79599,0.77445,0.82182,0.63331,0.94739,0.55009,0.00491,0.0002575,0.0002575,0.0002575
17,8889.07,1.01976,0.58796,0.00377,0.79523,0.77506,0.82272,0.63411,0.94721,0.54978,0.00491,0.000208,0.000208,0.000208
18,9406.59,1.01484,0.58252,0.00375,0.79434,0.77491,0.82338,0.63437,0.94702,0.54926,0.00491,0.0001585,0.0001585,0.0001585
19,9926.04,1.01421,0.58139,0.00373,0.79649,0.77527,0.82338,0.63451,0.94698,0.54857,0.0049,0.000109,0.000109,0.000109
20,10453.7,1.01135,0.57714,0.00371,0.79329,0.77899,0.82313,0.63408,0.94682,0.54834,0.0049,5.95e-05,5.95e-05,5.95e-05
