epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.5532,1.70235,1.36506,0.00316,0.47813,0.27304,0.32075,0.17948,1.80464,1.57829,0.00621,0.00024,0.00024,0.00024
2,6.79511,1.7063,1.38942,0.0031,0.36542,0.34565,0.30964,0.17078,1.81072,1.43827,0.00605,0.000465745,0.000465745,0.000465745
3,9.88464,1.70932,1.37336,0.00316,0.40546,0.32011,0.31108,0.1777,1.82076,1.49541,0.00608,0.00066674,0.00066674,0.00066674
4,12.9433,1.70253,1.34918,0.00318,0.59114,0.2698,0.30896,0.16108,1.83218,1.49388,0.00585,0.000842985,0.000842985,0.000842985
5,16.2351,1.73282,1.39204,0.0034,0.48205,0.33973,0.32583,0.16213,1.82365,1.53533,0.00611,0.000802,0.000802,0.000802
6,19.279,1.70758,1.35818,0.00318,0.43535,0.32541,0.31133,0.1543,1.78349,1.51842,0.00588,0.0007525,0.0007525,0.0007525
7,22.3719,1.68741,1.33482,0.00326,0.41756,0.35733,0.32716,0.16019,1.8017,1.49529,0.00591,0.000703,0.000703,0.000703
8,25.4378,1.69032,1.35524,0.00329,0.35201,0.35519,0.31246,0.1633,1.80046,1.50417,0.00562,0.0006535,0.0006535,0.0006535
9,28.4674,1.73372,1.33793,0.00333,0.40172,0.33728,0.29694,0.17153,1.81917,1.49804,0.00568,0.000604,0.000604,0.000604
10,31.8152,1.70866,1.31359,0.00317,0.42362,0.36405,0.30705,0.16835,1.84376,1.51172,0.00585,0.0005545,0.0005545,0.0005545
11,34.8462,1.70123,1.3164,0.00309,0.56924,0.24218,0.28295,0.17036,1.77402,1.54143,0.00553,0.000505,0.000505,0.000505
12,37.9792,1.69268,1.28409,0.00311,0.37076,0.32782,0.30811,0.17779,1.81265,1.49408,0.0058,0.0004555,0.0004555,0.0004555
13,40.9993,1.63193,1.25963,0.00305,0.39297,0.36295,0.32056,0.18021,1.84124,1.48374,0.00571,0.000406,0.000406,0.000406
14,44.0466,1.69392,1.26337,0.00307,0.43424,0.36663,0.34447,0.18428,1.78766,1.52261,0.00542,0.0003565,0.0003565,0.0003565
15,47.4458,1.72177,1.27068,0.00301,0.45558,0.33828,0.34678,0.19055,1.81203,1.52112,0.00542,0.000307,0.000307,0.000307
16,50.5741,1.68714,1.25992,0.00299,0.37312,0.37367,0.31035,0.17898,1.81625,1.47188,0.00592,0.0002575,0.0002575,0.0002575
17,53.4534,1.68926,1.24274,0.00303,0.45616,0.36468,0.32224,0.18234,1.8024,1.48042,0.00569,0.000208,0.000208,0.000208
18,56.2542,1.66514,1.24529,0.00288,0.42717,0.36067,0.32229,0.18151,1.80551,1.4548,0.00568,0.0001585,0.0001585,0.0001585
19,59.0887,1.62618,1.22464,0.00286,0.39319,0.36641,0.32219,0.18325,1.79869,1.45075,0.00556,0.000109,0.000109,0.000109
20,62.4988,1.59384,1.21767,0.00278,0.40263,0.37563,0.35214,0.18691,1.79713,1.45267,0.0056,5.95e-05,5.95e-05,5.95e-05
