layer_id,layer_type,gen_layer_params,snow_layer_params,gen_layer_params_percent,snow_layer_params_percent,candidate_for_size_reduction,status,error,multi_input_policy,gen_baseline_map50_95,snow_baseline_map50_95,gen_input_shapes,gen_output_shape,snow_input_shapes,snow_output_shape,spatial_scale,adapter_repr,gen_model_path,snow_model_path,gen_model_sha256,snow_model_sha256,gen_params_after,snow_params_after,gen_params_reduced,snow_params_reduced,gen_params_reduction_percent,snow_params_reduction_percent,mean_params_reduction_percent,gen_replaced_model_mib,snow_replaced_model_mib,gen_replaced_map50_95,gen_replaced_map50,gen_replaced_map75,gen_precision,gen_recall,gen_latency_ms,gen_fps,snow_replaced_map50_95,snow_replaced_map50,snow_replaced_map75,snow_precision,snow_recall,snow_latency_ms,snow_fps,ad_gen_map50_95,ad_snow_map50_95,nad_gen,nad_snow,combined_nad_signed,negative_or_zero_sensitivity,score_denominator,physical_layer_score
0,Conv,464,464,0.01850013356777468,0.018508767730920812,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 3, 640, 640))","(1, 16, 320, 320)","((1, 3, 640, 640))","(1, 16, 320, 320)",1/2 x 1/2,"DynamicNoParamLayerAdapter(target_channels=16, h_scale=1/2, w_scale=1/2, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L0_Conv.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L0_Conv.pt,8470d285fc26bac3b0bef8d8080ba329fa20c10cd2ef8a1df17f0a88d7a387fa,2cdff8ea2cb0973ad070077e2a710fbf195b1dfee828253524a564edeff637cd,2507626,2506456,464,464,0.01850013356777468,0.018508767730920812,0.018504450649347748,5.197047233581543,5.191805839538574,0.0,0.0,0.0,0.0,0.0,1.2035029633817347,830.9078003348577,0.0,0.0,0.0,0.0,0.0,1.0358160641044378,965.4223704906486,0.6414207460892849,0.1899135424242684,1.0,1.0,1.0,False,1.0,0.018504450649347748
1,Conv,4672,4672,0.18627720695828298,0.18636414404927162,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 16, 320, 320))","(1, 32, 160, 160)","((1, 16, 320, 320))","(1, 32, 160, 160)",1/2 x 1/2,"DynamicNoParamLayerAdapter(target_channels=32, h_scale=1/2, w_scale=1/2, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L1_Conv.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L1_Conv.pt,dd24b76f05087d652d426e6d78f4aa04bef3c78676b78ec7ce78eb980b4e9ce8,a3968f086335a976dbe80a8554f09df3b7c54a08a29659efe5e98d1fa0e90270,2503418,2502248,4672,4672,0.18627720695828298,0.18636414404927162,0.1863206755037773,5.186488151550293,5.181246757507324,0.0,0.0,0.0,0.0,0.0,1.2076147019185803,828.0786896774812,0.0,0.0,0.0,0.0,0.0,1.0326755698770285,968.3583394144596,0.6414207460892849,0.1899135424242684,1.0,1.0,1.0,False,1.0,0.1863206755037773
2,C3k2,6640,6640,0.26474329071125835,0.2648668485631771,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 32, 160, 160))","(1, 64, 160, 160)","((1, 32, 160, 160))","(1, 64, 160, 160)",1/1 x 1/1,"DynamicNoParamLayerAdapter(target_channels=64, h_scale=1/1, w_scale=1/1, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L2_C3k2.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L2_C3k2.pt,5113d7b7c97a7c78f00537f79079f4900a2267c7434d10f16d5c8da0e4326eb5,cf5ef91acec5d39b5c5b1939226463303796ed5316b0326b4bd31c6cc24770ec,2501450,2500280,6640,6640,0.26474329071125835,0.2648668485631771,0.2648050696372177,5.17465877532959,5.169400215148926,2.194164670138352e-08,4.552502896788136e-08,2.5673281815614495e-08,5.52620831318067e-06,0.00043830042247290716,1.1052882194688374,904.7413899702693,0.0,0.0,0.0,0.0,0.0,0.9597393963485956,1041.9495165089388,0.6414207241476382,0.1899135424242684,0.9999999657921156,1.0,0.9999999828960577,False,0.9999999828960577,0.2648050741664284
3,Conv,36992,36992,1.4749072002998298,1.475595551513411,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 64, 160, 160))","(1, 64, 80, 80)","((1, 64, 160, 160))","(1, 64, 80, 80)",1/2 x 1/2,"DynamicNoParamLayerAdapter(target_channels=64, h_scale=1/2, w_scale=1/2, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L3_Conv.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L3_Conv.pt,6f4ca50df7b64b6a73e4831b35894640b2455b5ae5ee15d2a1ce58aecf42434d,bb9915769048b8d67c288b1a64f4ccf34de3c5b364dbb795f38818fa77afc769,2471098,2469928,36992,36992,1.4749072002998298,1.475595551513411,1.4752513759066204,5.124720573425293,5.119479179382324,0.0,0.0,0.0,0.0,0.0,1.1928281820463864,838.3437070412143,0.0,0.0,0.0,0.0,0.0,1.1567288730293512,864.5068203243732,0.6414207460892849,0.1899135424242684,1.0,1.0,1.0,False,1.0,1.4752513759066204
4,C3k2,26080,26080,1.0398350936369907,1.040320393151756,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 64, 80, 80))","(1, 128, 80, 80)","((1, 64, 80, 80))","(1, 128, 80, 80)",1/1 x 1/1,"DynamicNoParamLayerAdapter(target_channels=128, h_scale=1/1, w_scale=1/1, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L4_C3k2.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L4_C3k2.pt,f283d6805206a9e4b63e7bbab41e59e8b72ad60f036e68253b1d23ccc01083fb,b9d9a0e7c24cb965060d53f0eb3cb6f4962ba46cac2a07e8bf54f6f9159beb72,2482010,2480840,26080,26080,1.0398350936369907,1.040320393151756,1.0400777433943733,5.13706111907959,5.131802558898926,0.0,0.0,0.0,0.0,0.0,1.1818693280220032,846.1172282672038,0.0,0.0,0.0,0.0,0.0,1.1799245327711105,847.5118299739485,0.6414207460892849,0.1899135424242684,1.0,1.0,1.0,False,1.0,1.0400777433943733
5,Conv,147712,147712,5.88942183095503,5.892170472133135,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 128, 80, 80))","(1, 128, 40, 40)","((1, 128, 80, 80))","(1, 128, 40, 40)",1/2 x 1/2,"DynamicNoParamLayerAdapter(target_channels=128, h_scale=1/2, w_scale=1/2, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L5_Conv.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L5_Conv.pt,1d600956a77bc18f17e9ce2adcbca33feb5edbaf33232112d78691dbc1390612,5758bac0fbadfd271395b11521958ec2248a165108d768eadba59084d5bf93ab,2360378,2359208,147712,147712,5.88942183095503,5.892170472133135,5.890796151544082,4.913294792175293,4.908053398132324,0.009995022056009554,0.017073944418199292,0.010759099574308791,0.05477308864545958,0.10874218957317047,1.2164368455890906,822.0730929238866,0.0005625,0.000625,0.000625,0.125,0.0008944543828264759,1.0333248227834702,967.7499058875766,0.6314257240332753,0.1893510424242684,0.9844173701631125,0.9970381259134045,0.9907277480382585,False,0.9907277480382585,5.945928296859008
6,C3k2,87040,87040,3.470369883058423,3.4719895329727315,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 128, 40, 40))","(1, 128, 40, 40)","((1, 128, 40, 40))","(1, 128, 40, 40)",1/1 x 1/1,"DynamicNoParamLayerAdapter(target_channels=128, h_scale=1/1, w_scale=1/1, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L6_C3k2.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L6_C3k2.pt,81e29c1385caad7c61102deb21988d4562f2801759183025a81da84c9018d87c,e20c0cc5cf543b7b81119b44478b69650cdf342f29b132683dccfd26b1dbde79,2421050,2419880,87040,87040,3.470369883058423,3.4719895329727315,3.471179708015577,5.006770133972168,5.001482963562012,0.0003743635500697076,0.0006502740669589446,0.0003424873737373737,0.026592735828587476,0.004592339457084967,1.1994075473736634,833.74496199369,0.0,0.0,0.0,0.0,0.0,1.208298271521926,827.6102213904837,0.6410463825392152,0.1899135424242684,0.9994163526010779,1.0,0.9997081763005389,False,0.9997081763005389,3.472192976215139
7,Conv,295424,295424,11.77884366191006,11.78434094426627,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 128, 40, 40))","(1, 256, 20, 20)","((1, 128, 40, 40))","(1, 256, 20, 20)",1/2 x 1/2,"DynamicNoParamLayerAdapter(target_channels=256, h_scale=1/2, w_scale=1/2, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L7_Conv.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L7_Conv.pt,b487aaba6f11fd464bceea5b56d96a07525e56d83be6b2b1a2c347ab4bde42fa,58f19e04f8131e0c5d6bb0ec636b28af5ab582ef85eeb6219ee66f91759666bc,2212666,2211496,295424,295424,11.77884366191006,11.78434094426627,11.781592303088164,4.631068229675293,4.625826835632324,0.13301711730031124,0.18503516292808833,0.15117949375452766,0.3937073982054517,0.17837671539557098,1.227959862656214,814.3588649851214,0.019253328181293525,0.028304949130029476,0.02189068091421241,0.13575964977185845,0.03962086847261266,1.1448641493916512,873.4660793871238,0.5084036287889737,0.17066021424297487,0.7926211178679348,0.8986205620961909,0.8456208399820628,False,0.8456208399820628,13.932476289654916
8,C3k2,346112,346112,13.799823770279376,13.806264260526863,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 256, 20, 20))","(1, 256, 20, 20)","((1, 256, 20, 20))","(1, 256, 20, 20)",1/1 x 1/1,"DynamicNoParamLayerAdapter(target_channels=256, h_scale=1/1, w_scale=1/1, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L8_C3k2.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L8_C3k2.pt,9058fab90999c96fd2138265e06549a0fcc6af49a13587372eb96b89942311f8,ac309f5f1476a389d16f5239317caa45486d80178d0161e6649c559923df25bb,2161978,2160808,346112,346112,13.799823770279376,13.806264260526863,13.80304401540312,4.510615348815918,4.505389213562012,0.15122706356142646,0.21325904971753576,0.17041212211885076,0.317811298953615,0.2619184893391631,1.2205493820153854,819.3031881666175,0.07626943312501824,0.13743164548453043,0.07496682887073798,0.7218331244637425,0.1259902050537702,1.031055822968483,969.87959111751,0.49019368252785844,0.11364410929925015,0.7642311002825346,0.5983991865380948,0.6813151434103146,False,0.6813151434103146,20.25941174052312
9,SPPF,164608,164608,6.563081867078136,6.566144910886666,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 256, 20, 20))","(1, 256, 20, 20)","((1, 256, 20, 20))","(1, 256, 20, 20)",1/1 x 1/1,"DynamicNoParamLayerAdapter(target_channels=256, h_scale=1/1, w_scale=1/1, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L9_SPPF.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L9_SPPF.pt,fe5f0eb09efad7cabfa5d5c4f8f8731f2cfadaf38f80a6dc302717036abe0200,f403907c633ebdf21116a67a3f8a8299a64093054f1a6186afbee51c81234fba,2343482,2342312,164608,164608,6.563081867078136,6.566144910886666,6.564613388982401,4.876921653747559,4.871674537658691,0.5400832558086374,0.7146759046890989,0.6070825193527324,0.727152938977352,0.6544709063643837,1.2420002959499303,805.1527872102164,0.1558421015730203,0.2870702211029481,0.13705245158980817,0.7883954060699578,0.23196068978402967,1.0470117535442114,955.0991157596147,0.10133749028064754,0.03407144085124808,0.1579891060563568,0.17940500933383785,0.16869705769509732,False,0.16869705769509732,38.913621130531325
