trial_index,domain,pruning_ratio,root_module,before_in_channels,after_in_channels,before_out_channels,after_out_channels,root_out_channels_removed
6,GEN,0.12,model.0.conv,3,3,16,16,0
6,GEN,0.12,model.1.conv,16,16,32,32,0
6,GEN,0.12,model.10.cv2.conv,256,256,256,256,0
6,GEN,0.12,model.10.m.0.ffn.0.conv,128,128,256,255,1
6,GEN,0.12,model.13.cv2.conv,192,192,128,128,0
6,GEN,0.12,model.13.m.0.cv1.conv,64,64,32,32,0
6,GEN,0.12,model.13.m.0.cv2.conv,64,64,32,32,0
6,GEN,0.12,model.13.m.0.m.0.cv1.conv,32,32,32,32,0
6,GEN,0.12,model.13.m.0.m.1.cv1.conv,32,32,32,32,0
6,GEN,0.12,model.16.cv2.conv,96,96,64,64,0
6,GEN,0.12,model.16.m.0.cv1.conv,32,32,16,16,0
6,GEN,0.12,model.16.m.0.cv2.conv,32,32,16,16,0
6,GEN,0.12,model.16.m.0.m.0.cv1.conv,16,16,16,16,0
6,GEN,0.12,model.16.m.0.m.1.cv1.conv,16,16,16,16,0
6,GEN,0.12,model.17.conv,64,64,64,64,0
6,GEN,0.12,model.19.cv2.conv,192,192,128,128,0
6,GEN,0.12,model.19.m.0.cv1.conv,64,64,32,32,0
6,GEN,0.12,model.19.m.0.cv2.conv,64,64,32,32,0
6,GEN,0.12,model.19.m.0.m.0.cv1.conv,32,32,32,32,0
6,GEN,0.12,model.19.m.0.m.1.cv1.conv,32,32,32,32,0
6,GEN,0.12,model.2.cv2.conv,48,48,64,64,0
6,GEN,0.12,model.2.m.0.cv1.conv,16,16,8,8,0
6,GEN,0.12,model.20.conv,128,128,128,128,0
6,GEN,0.12,model.22.cv2.conv,384,384,256,256,0
6,GEN,0.12,model.22.m.0.0.cv1.conv,128,128,64,64,0
6,GEN,0.12,model.22.m.0.1.ffn.0.conv,128,128,256,245,11
6,GEN,0.12,model.3.conv,64,64,64,64,0
6,GEN,0.12,model.4.cv2.conv,96,96,128,14,114
6,GEN,0.12,model.4.m.0.cv1.conv,32,32,16,16,0
6,GEN,0.12,model.5.conv,128,14,128,128,0
6,GEN,0.12,model.6.cv2.conv,192,192,128,128,0
6,GEN,0.12,model.6.m.0.cv1.conv,64,64,32,32,0
6,GEN,0.12,model.6.m.0.cv2.conv,64,64,32,32,0
6,GEN,0.12,model.6.m.0.m.0.cv1.conv,32,32,32,32,0
6,GEN,0.12,model.6.m.0.m.1.cv1.conv,32,32,32,32,0
6,GEN,0.12,model.7.conv,128,128,256,256,0
6,GEN,0.12,model.8.cv2.conv,384,384,256,256,0
6,GEN,0.12,model.8.m.0.cv1.conv,128,128,64,64,0
6,GEN,0.12,model.8.m.0.cv2.conv,128,128,64,64,0
6,GEN,0.12,model.8.m.0.m.0.cv1.conv,64,64,64,64,0
6,GEN,0.12,model.8.m.0.m.1.cv1.conv,64,64,64,64,0
6,GEN,0.12,model.9.cv1.conv,256,256,128,128,0
