trial_index,domain,pruning_ratio,status,error,baseline_parameters,target_parameters,remaining_parameters,parameters_removed,parameter_reduction_fraction,parameter_reduction_percent,target_error_parameters,absolute_target_error_parameters,target_error_percent_of_baseline,total_generic_root_channels_removed,minimum_remaining_generic_root_out_channels,zero_channel_root_count,zero_channel_roots,protected_output_change_count,forward_pass_ok,pruner_class,trace_adapter,ignored_conv_roots,allowed_generic_roots,elapsed_seconds
1,GEN,0.02,ok,,2508090,2250986,2487400,20690,0.00824930524821677,0.8249305248216771,236414,236414,9.4260572786463,37,8,0,,0,True,BasePruner,output_transform,84,42,3.505129098892212
2,GEN,0.04,ok,,2508090,2250986,2465378,42712,0.01702969191695673,1.7029691916956728,214392,214392,8.548018611772305,90,4,0,,0,True,BasePruner,output_transform,84,42,2.1121339797973633
3,GEN,0.06,ok,,2508090,2250986,2499900,8190,0.0032654330586222983,0.32654330586222985,248914,248914,9.924444497605748,63,3,0,,0,True,BasePruner,output_transform,84,42,1.8777756690979004
4,GEN,0.08,ok,,2508090,2250986,2483922,24168,0.009636017846249536,0.9636017846249536,232936,232936,9.287386018843025,20,8,0,,0,True,BasePruner,output_transform,84,42,1.9255828857421875
5,GEN,0.1,ok,,2508090,2250986,2417448,90642,0.03613985144073777,3.6139851440737774,166462,166462,6.6370026593942,73,8,0,,0,True,BasePruner,output_transform,84,42,1.866173505783081
6,GEN,0.12,ok,,2508090,2250986,2355198,152892,0.060959534944918244,6.095953494491824,104212,104212,4.155034308976153,126,8,0,,0,True,BasePruner,output_transform,84,42,1.5800340175628662
7,GEN,0.15,ok,,2508090,2250986,2487790,20300,0.008093808435901424,0.8093808435901423,236804,236804,9.441606959877836,78,5,0,,0,True,BasePruner,output_transform,84,42,1.4952473640441895
8,GEN,0.18,ok,,2508090,2250986,2467136,40954,0.016328760132212163,1.6328760132212161,216150,216150,8.618111790246761,157,2,0,,0,True,BasePruner,output_transform,84,42,1.9110829830169678
9,GEN,0.22,ok,,2508090,2250986,2439820,68270,0.02721991635068917,2.721991635068917,188834,188834,7.52899616839906,263,1,0,,0,True,BasePruner,output_transform,84,42,2.0254883766174316
10,GEN,0.26,ok,,2508090,2250986,2412440,95650,0.038136589994776905,3.81365899947769,161454,161454,6.437328803990288,369,1,0,,0,True,BasePruner,output_transform,84,42,1.9737389087677002
11,GEN,0.3,ok,,2508090,2250986,2382580,125510,0.05004206388128018,5.004206388128018,131594,131594,5.24678141533996,467,1,0,,0,True,BasePruner,output_transform,84,42,1.8883419036865234
