trial_index,domain,pruning_ratio,status,error,baseline_parameters,target_parameters,remaining_parameters,parameters_removed,parameter_reduction_fraction,parameter_reduction_percent,target_error_parameters,absolute_target_error_parameters,target_error_percent_of_baseline,total_generic_root_channels_removed,minimum_remaining_generic_root_out_channels,zero_channel_root_count,zero_channel_roots,protected_output_change_count,forward_pass_ok,pruner_class,trace_adapter,ignored_conv_roots,allowed_generic_roots,elapsed_seconds
1,SNOW,0.02,ok,,2506920,2249816,2497645,9275,0.003699759066902813,0.3699759066902813,247829,247829,9.885796116349944,37,8,0,,0,True,BasePruner,output_transform,84,42,1.6913671493530273
2,SNOW,0.04,ok,,2506920,2249816,2483779,23141,0.009230849009940485,0.9230849009940485,233963,233963,9.332687122046176,90,8,0,,0,True,BasePruner,output_transform,84,42,1.9148049354553223
3,SNOW,0.06,ok,,2506920,2249816,2469273,37647,0.015017232300990857,1.5017232300990857,219457,219457,8.75404879294114,143,8,0,,0,True,BasePruner,output_transform,84,42,2.1513493061065674
4,SNOW,0.08,ok,,2506920,2249816,2455391,51529,0.020554704577728847,2.0554704577728846,205575,205575,8.20030156526734,196,4,0,,0,True,BasePruner,output_transform,84,42,2.0545201301574707
5,SNOW,0.1,ok,,2506920,2249816,2439781,67139,0.02678146889410113,2.678146889410113,189965,189965,7.577625133630112,249,3,0,,0,True,BasePruner,output_transform,84,42,1.899174451828003
6,SNOW,0.12,ok,,2506920,2249816,2426699,80221,0.03199982448582324,3.199982448582324,176883,176883,7.055789574457901,302,1,0,,0,True,BasePruner,output_transform,84,42,1.6095428466796875
7,SNOW,0.15,ok,,2506920,2249816,2411963,94957,0.03787795382381568,3.7877953823815678,162147,162147,6.467976640658657,350,3,0,,0,True,BasePruner,output_transform,84,42,1.6035089492797852
8,SNOW,0.18,ok,,2506920,2249816,2392034,114886,0.04582754934341742,4.582754934341742,142218,142218,5.673017088698483,397,1,0,,0,True,BasePruner,output_transform,84,42,2.283958911895752
9,SNOW,0.22,ok,,2506920,2249816,2425917,81003,0.03231176104542626,3.231176104542626,176101,176101,7.024595918497599,215,8,0,,0,True,BasePruner,output_transform,84,42,2.1393520832061768
10,SNOW,0.26,ok,,2506920,2249816,2389054,117866,0.04701625899510156,4.701625899510156,139238,139238,5.554146123530069,321,3,0,,0,True,BasePruner,output_transform,84,42,2.238001585006714
11,SNOW,0.3,ok,,2506920,2249816,2377882,129038,0.051472723501348266,5.147272350134827,128066,128066,5.108499672905398,299,8,0,,0,True,BasePruner,output_transform,84,42,1.9631237983703613
