step,operation_index,selected_group_id,selected_root_module,module_name,module_type,handler,is_out_channel_prune,index_count,indices,current_out_channels,projected_out_channels
1,1,DG001,model.0.conv,model.0.conv,Conv2d,prune_out_channels,True,1,12,16,15
1,2,DG001,model.0.conv,model.0.bn,BatchNorm2d,prune_out_channels,True,1,12,,
1,3,DG001,model.0.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,12,,
1,4,DG001,model.0.conv,model.1.conv,Conv2d,prune_in_channels,False,1,12,,
2,1,DG011,model.16.m.0.cv1.conv,model.16.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,8,16,15
2,2,DG011,model.16.m.0.cv1.conv,model.16.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,8,,
2,3,DG011,model.16.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,8,,
2,4,DG011,model.16.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,8,,
2,5,DG011,model.16.m.0.cv1.conv,model.16.m.0.m.0.cv1.conv,Conv2d,prune_in_channels,False,1,8,,
2,6,DG011,model.16.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,8,,
2,7,DG011,model.16.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,8,,
2,8,DG011,model.16.m.0.cv1.conv,model.16.m.0.m.1.cv1.conv,Conv2d,prune_in_channels,False,1,8,,
2,9,DG011,model.16.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,8,,
2,10,DG011,model.16.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,8,,
2,11,DG011,model.16.m.0.cv1.conv,model.16.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,8,,
2,12,DG011,model.16.m.0.cv1.conv,model.16.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,8,,
2,13,DG011,model.16.m.0.cv1.conv,model.16.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,8,16,15
2,14,DG011,model.16.m.0.cv1.conv,model.16.m.0.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,8,,
2,15,DG011,model.16.m.0.cv1.conv,model.16.m.0.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,8,16,15
