root_module,original_out_channels,current_out_channels,out_channels_removed,root_pruning_fraction,minimum_remaining_out_channels,at_safety_limit
model.0.conv,16,8,8,0.5,8,True
model.1.conv,32,16,16,0.5,16,True
model.10.cv2.conv,256,256,0,0.0,128,False
model.10.m.0.ffn.0.conv,256,244,12,0.046875,128,False
model.13.cv2.conv,128,128,0,0.0,64,False
model.13.m.0.cv1.conv,32,16,16,0.5,16,True
model.13.m.0.cv2.conv,32,16,16,0.5,16,True
model.13.m.0.m.0.cv1.conv,32,30,2,0.0625,16,False
model.13.m.0.m.1.cv1.conv,32,32,0,0.0,16,False
model.16.cv2.conv,64,64,0,0.0,32,False
model.16.m.0.cv1.conv,16,8,8,0.5,8,True
model.16.m.0.cv2.conv,16,8,8,0.5,8,True
model.16.m.0.m.0.cv1.conv,16,8,8,0.5,8,True
model.16.m.0.m.1.cv1.conv,16,8,8,0.5,8,True
model.17.conv,64,64,0,0.0,32,False
model.19.cv2.conv,128,128,0,0.0,64,False
model.19.m.0.cv1.conv,32,16,16,0.5,16,True
model.19.m.0.cv2.conv,32,16,16,0.5,16,True
model.19.m.0.m.0.cv1.conv,32,23,9,0.28125,16,False
model.19.m.0.m.1.cv1.conv,32,16,16,0.5,16,True
model.2.cv2.conv,64,32,32,0.5,32,True
model.2.m.0.cv1.conv,8,4,4,0.5,4,True
model.20.conv,128,128,0,0.0,64,False
model.22.cv2.conv,256,256,0,0.0,128,False
model.22.m.0.0.cv1.conv,64,64,0,0.0,32,False
model.22.m.0.1.ffn.0.conv,256,142,114,0.4453125,128,False
model.3.conv,64,64,0,0.0,32,False
model.4.cv2.conv,128,64,64,0.5,64,True
model.4.m.0.cv1.conv,16,16,0,0.0,8,False
model.5.conv,128,128,0,0.0,64,False
model.6.cv2.conv,128,128,0,0.0,64,False
model.6.m.0.cv1.conv,32,16,16,0.5,16,True
model.6.m.0.cv2.conv,32,16,16,0.5,16,True
model.6.m.0.m.0.cv1.conv,32,28,4,0.125,16,False
model.6.m.0.m.1.cv1.conv,32,27,5,0.15625,16,False
model.7.conv,256,256,0,0.0,128,False
model.8.cv2.conv,256,256,0,0.0,128,False
model.8.m.0.cv1.conv,64,53,11,0.171875,32,False
model.8.m.0.cv2.conv,64,62,2,0.03125,32,False
model.8.m.0.m.0.cv1.conv,64,64,0,0.0,32,False
model.8.m.0.m.1.cv1.conv,64,64,0,0.0,32,False
model.9.cv1.conv,128,128,0,0.0,64,False
