module_path,status,expected_out_channels,actual_out_channels,current_in_channels
model.10.m.0.attn.pe.conv,OK,128,128,128
model.10.m.0.attn.proj.conv,OK,128,128,128
model.10.m.0.attn.qkv.conv,OK,256,256,128
model.22.m.0.1.attn.pe.conv,OK,128,128,128
model.22.m.0.1.attn.proj.conv,OK,128,128,128
model.22.m.0.1.attn.qkv.conv,OK,256,256,128
model.23.cv2.0.0.conv,OK,16,16,64
model.23.cv2.0.1.conv,OK,16,16,16
model.23.cv2.0.2,OK,4,4,16
model.23.cv2.1.0.conv,OK,16,16,128
model.23.cv2.1.1.conv,OK,16,16,16
model.23.cv2.1.2,OK,4,4,16
model.23.cv2.2.0.conv,OK,16,16,256
model.23.cv2.2.1.conv,OK,16,16,16
model.23.cv2.2.2,OK,4,4,16
model.23.cv3.0.0.0.conv,OK,64,64,64
model.23.cv3.0.0.1.conv,OK,64,64,64
model.23.cv3.0.1.0.conv,OK,64,64,64
model.23.cv3.0.1.1.conv,OK,64,64,64
model.23.cv3.0.2,OK,11,11,64
model.23.cv3.1.0.0.conv,OK,128,128,128
model.23.cv3.1.0.1.conv,OK,64,64,128
model.23.cv3.1.1.0.conv,OK,64,64,64
model.23.cv3.1.1.1.conv,OK,64,64,64
model.23.cv3.1.2,OK,11,11,64
model.23.cv3.2.0.0.conv,OK,256,256,256
model.23.cv3.2.0.1.conv,OK,64,64,256
model.23.cv3.2.1.0.conv,OK,64,64,64
model.23.cv3.2.1.1.conv,OK,64,64,64
model.23.cv3.2.2,OK,11,11,64
model.23.one2one_cv2.0.0.conv,OK,16,16,64
model.23.one2one_cv2.0.1.conv,OK,16,16,16
model.23.one2one_cv2.0.2,OK,4,4,16
model.23.one2one_cv2.1.0.conv,OK,16,16,128
model.23.one2one_cv2.1.1.conv,OK,16,16,16
model.23.one2one_cv2.1.2,OK,4,4,16
model.23.one2one_cv2.2.0.conv,OK,16,16,256
model.23.one2one_cv2.2.1.conv,OK,16,16,16
model.23.one2one_cv2.2.2,OK,4,4,16
model.23.one2one_cv3.0.0.0.conv,OK,64,64,64
model.23.one2one_cv3.0.0.1.conv,OK,64,64,64
model.23.one2one_cv3.0.1.0.conv,OK,64,64,64
model.23.one2one_cv3.0.1.1.conv,OK,64,64,64
model.23.one2one_cv3.0.2,OK,11,11,64
model.23.one2one_cv3.1.0.0.conv,OK,128,128,128
model.23.one2one_cv3.1.0.1.conv,OK,64,64,128
model.23.one2one_cv3.1.1.0.conv,OK,64,64,64
model.23.one2one_cv3.1.1.1.conv,OK,64,64,64
model.23.one2one_cv3.1.2,OK,11,11,64
model.23.one2one_cv3.2.0.0.conv,OK,256,256,256
model.23.one2one_cv3.2.0.1.conv,OK,64,64,256
model.23.one2one_cv3.2.1.0.conv,OK,64,64,64
model.23.one2one_cv3.2.1.1.conv,OK,64,64,64
model.23.one2one_cv3.2.2,OK,11,11,64
