step,operation_index,selected_group_id,selected_root_module,module_name,module_type,handler,is_out_channel_prune,index_count,indices,current_out_channels,projected_out_channels
1,1,DG001,model.0.conv,model.0.conv,Conv2d,prune_out_channels,True,1,6,16,15
1,2,DG001,model.0.conv,model.0.bn,BatchNorm2d,prune_out_channels,True,1,6,,
1,3,DG001,model.0.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,6,,
1,4,DG001,model.0.conv,model.1.conv,Conv2d,prune_in_channels,False,1,6,,
2,1,DG001,model.0.conv,model.0.conv,Conv2d,prune_out_channels,True,1,4,15,14
2,2,DG001,model.0.conv,model.0.bn,BatchNorm2d,prune_out_channels,True,1,4,,
2,3,DG001,model.0.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,4,,
2,4,DG001,model.0.conv,model.1.conv,Conv2d,prune_in_channels,False,1,4,,
3,1,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,10,16,15
3,2,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,10,,
3,3,DG012,model.16.m.0.cv2.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,10,,
3,4,DG012,model.16.m.0.cv2.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,26,,
3,5,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,26,,
4,1,DG001,model.0.conv,model.0.conv,Conv2d,prune_out_channels,True,1,10,14,13
4,2,DG001,model.0.conv,model.0.bn,BatchNorm2d,prune_out_channels,True,1,10,,
4,3,DG001,model.0.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,10,,
4,4,DG001,model.0.conv,model.1.conv,Conv2d,prune_in_channels,False,1,10,,
5,1,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,11,15,14
5,2,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,11,,
5,3,DG012,model.16.m.0.cv2.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,11,,
5,4,DG012,model.16.m.0.cv2.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,27,,
5,5,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,27,,
6,1,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,3,14,13
6,2,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,3,,
6,3,DG012,model.16.m.0.cv2.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,3,,
6,4,DG012,model.16.m.0.cv2.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,19,,
6,5,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,19,,
7,1,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,4,13,12
7,2,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,4,,
7,3,DG012,model.16.m.0.cv2.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,4,,
7,4,DG012,model.16.m.0.cv2.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,20,,
7,5,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,20,,
8,1,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,2,12,11
8,2,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,2,,
8,3,DG012,model.16.m.0.cv2.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,2,,
8,4,DG012,model.16.m.0.cv2.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,18,,
8,5,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,18,,
9,1,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,3,11,10
9,2,DG012,model.16.m.0.cv2.conv,model.16.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,3,,
