root_module,original_out_channels,current_out_channels,out_channels_removed,root_pruning_fraction,minimum_remaining_out_channels,at_safety_limit
model.0.conv,16,8,8,0.5,8,True
model.1.conv,32,16,16,0.5,16,True
model.10.cv2.conv,256,255,1,0.00390625,128,False
model.10.m.0.ffn.0.conv,256,128,128,0.5,128,True
model.13.cv2.conv,128,128,0,0.0,64,False
model.13.m.0.cv1.conv,32,16,16,0.5,16,True
model.13.m.0.cv2.conv,32,16,16,0.5,16,True
model.13.m.0.m.0.cv1.conv,32,24,8,0.25,16,False
model.13.m.0.m.1.cv1.conv,32,16,16,0.5,16,True
model.16.cv2.conv,64,64,0,0.0,32,False
model.16.m.0.cv1.conv,16,8,8,0.5,8,True
model.16.m.0.cv2.conv,16,8,8,0.5,8,True
model.16.m.0.m.0.cv1.conv,16,8,8,0.5,8,True
model.16.m.0.m.1.cv1.conv,16,8,8,0.5,8,True
model.17.conv,64,64,0,0.0,32,False
model.19.cv2.conv,128,128,0,0.0,64,False
model.19.m.0.cv1.conv,32,16,16,0.5,16,True
model.19.m.0.cv2.conv,32,16,16,0.5,16,True
model.19.m.0.m.0.cv1.conv,32,16,16,0.5,16,True
model.19.m.0.m.1.cv1.conv,32,16,16,0.5,16,True
model.2.cv2.conv,64,32,32,0.5,32,True
model.2.m.0.cv1.conv,8,8,0,0.0,4,False
model.20.conv,128,128,0,0.0,64,False
model.22.cv2.conv,256,256,0,0.0,128,False
model.22.m.0.0.cv1.conv,64,64,0,0.0,32,False
model.22.m.0.1.ffn.0.conv,256,128,128,0.5,128,True
model.3.conv,64,63,1,0.015625,32,False
model.4.cv2.conv,128,118,10,0.078125,64,False
model.4.m.0.cv1.conv,16,16,0,0.0,8,False
model.5.conv,128,128,0,0.0,64,False
model.6.cv2.conv,128,126,2,0.015625,64,False
model.6.m.0.cv1.conv,32,16,16,0.5,16,True
model.6.m.0.cv2.conv,32,16,16,0.5,16,True
model.6.m.0.m.0.cv1.conv,32,16,16,0.5,16,True
model.6.m.0.m.1.cv1.conv,32,16,16,0.5,16,True
model.7.conv,256,256,0,0.0,128,False
model.8.cv2.conv,256,256,0,0.0,128,False
model.8.m.0.cv1.conv,64,51,13,0.203125,32,False
model.8.m.0.cv2.conv,64,32,32,0.5,32,True
model.8.m.0.m.0.cv1.conv,64,64,0,0.0,32,False
model.8.m.0.m.1.cv1.conv,64,64,0,0.0,32,False
model.9.cv1.conv,128,124,4,0.03125,64,False
