layer_id,layer_type,layer_params,params_percent,snow_baseline_map50_95,snow_pruned_map50_95,ad_snow_map50_95,amount
20,Conv,147712,5.889422,0.020819,0.020580,0.000239,0.5
22,C3k2,463104,18.464409,0.020819,0.020325,0.000494,0.5
7,Conv,295424,11.778844,0.020819,0.019382,0.001437,0.5
9,SPPF,164608,6.563082,0.020819,0.018725,0.002094,0.5
17,Conv,36992,1.474907,0.020819,0.018491,0.002328,0.5
10,C2PSA,249728,9.956899,0.020819,0.018326,0.002493,0.5
19,C3k2,95232,3.796993,0.020819,0.010591,0.010228,0.5
5,Conv,147712,5.889422,0.020819,0.007811,0.013009,0.5
8,C3k2,346112,13.799824,0.020819,0.007510,0.013309,0.5
13,C3k2,119808,4.776862,0.020819,0.004929,0.015890,0.5
3,Conv,36992,1.474907,0.020819,0.001518,0.019301,0.5
16,C3k2,34304,1.367734,0.020819,0.001458,0.019361,0.5
0,Conv,464,0.018500,0.020819,0.001387,0.019432,0.5
1,Conv,4672,0.186277,0.020819,0.000088,0.020731,0.5
6,C3k2,87040,3.470370,0.020819,0.000000,0.020819,0.5
4,C3k2,26080,1.039835,0.020819,0.000000,0.020819,0.5
2,C3k2,6640,0.264743,0.020819,0.000000,0.020819,0.5
