layer_id,layer_type,amount,conv_name,out_channels,pruned_output_channels,new_zero_weights
20,Conv,0.5,conv,128,64,73728
7,Conv,0.5,conv,256,128,147456
22,C3k2,0.5,cv1.conv,256,128,49151
22,C3k2,0.5,cv2.conv,256,128,49152
22,C3k2,0.5,m.0.0.cv1.conv,64,32,36864
22,C3k2,0.5,m.0.0.cv2.conv,128,64,36864
22,C3k2,0.5,m.0.1.attn.qkv.conv,256,128,16384
22,C3k2,0.5,m.0.1.attn.proj.conv,128,64,8192
22,C3k2,0.5,m.0.1.attn.pe.conv,128,64,576
22,C3k2,0.5,m.0.1.ffn.0.conv,256,128,16384
22,C3k2,0.5,m.0.1.ffn.1.conv,128,64,16384
10,C2PSA,0.5,cv1.conv,256,128,32768
10,C2PSA,0.5,cv2.conv,256,128,32768
10,C2PSA,0.5,m.0.attn.qkv.conv,256,128,16384
10,C2PSA,0.5,m.0.attn.proj.conv,128,64,8192
10,C2PSA,0.5,m.0.attn.pe.conv,128,64,576
10,C2PSA,0.5,m.0.ffn.0.conv,256,128,16384
10,C2PSA,0.5,m.0.ffn.1.conv,128,64,16384
8,C3k2,0.5,cv1.conv,256,128,32768
8,C3k2,0.5,cv2.conv,256,128,49152
8,C3k2,0.5,m.0.cv1.conv,64,32,4096
8,C3k2,0.5,m.0.cv2.conv,64,32,4096
8,C3k2,0.5,m.0.cv3.conv,128,64,8192
8,C3k2,0.5,m.0.m.0.cv1.conv,64,32,18432
8,C3k2,0.5,m.0.m.0.cv2.conv,64,32,18432
8,C3k2,0.5,m.0.m.1.cv1.conv,64,32,18432
8,C3k2,0.5,m.0.m.1.cv2.conv,64,32,18432
17,Conv,0.5,conv,64,32,18432
13,C3k2,0.5,cv1.conv,128,64,24576
13,C3k2,0.5,cv2.conv,128,64,12288
13,C3k2,0.5,m.0.cv1.conv,32,16,1024
13,C3k2,0.5,m.0.cv2.conv,32,16,1024
13,C3k2,0.5,m.0.cv3.conv,64,32,2048
13,C3k2,0.5,m.0.m.0.cv1.conv,32,16,4608
13,C3k2,0.5,m.0.m.0.cv2.conv,32,16,4608
13,C3k2,0.5,m.0.m.1.cv1.conv,32,16,4608
13,C3k2,0.5,m.0.m.1.cv2.conv,32,16,4608
6,C3k2,0.5,cv1.conv,128,64,8192
6,C3k2,0.5,cv2.conv,128,64,12288
6,C3k2,0.5,m.0.cv1.conv,32,16,1024
6,C3k2,0.5,m.0.cv2.conv,32,16,1024
6,C3k2,0.5,m.0.cv3.conv,64,32,2048
6,C3k2,0.5,m.0.m.0.cv1.conv,32,16,4608
6,C3k2,0.5,m.0.m.0.cv2.conv,32,16,4608
6,C3k2,0.5,m.0.m.1.cv1.conv,32,16,4608
6,C3k2,0.5,m.0.m.1.cv2.conv,32,16,4608
9,SPPF,0.5,cv1.conv,128,64,16384
9,SPPF,0.5,cv2.conv,256,128,65536
5,Conv,0.5,conv,128,64,73728
19,C3k2,0.5,cv1.conv,128,64,12288
19,C3k2,0.5,cv2.conv,128,64,12288
19,C3k2,0.5,m.0.cv1.conv,32,16,1024
19,C3k2,0.5,m.0.cv2.conv,32,16,1024
19,C3k2,0.5,m.0.cv3.conv,64,32,2048
19,C3k2,0.5,m.0.m.0.cv1.conv,32,16,4608
19,C3k2,0.5,m.0.m.0.cv2.conv,32,16,4608
19,C3k2,0.5,m.0.m.1.cv1.conv,32,16,4608
19,C3k2,0.5,m.0.m.1.cv2.conv,32,16,4608
4,C3k2,0.5,cv1.conv,64,32,2048
4,C3k2,0.5,cv2.conv,128,64,6144
4,C3k2,0.5,m.0.cv1.conv,16,8,2304
4,C3k2,0.5,m.0.cv2.conv,32,16,2304
16,C3k2,0.5,cv1.conv,64,32,8192
16,C3k2,0.5,cv2.conv,64,32,3072
16,C3k2,0.5,m.0.cv1.conv,16,8,256
16,C3k2,0.5,m.0.cv2.conv,16,8,256
16,C3k2,0.5,m.0.cv3.conv,32,16,512
16,C3k2,0.5,m.0.m.0.cv1.conv,16,8,1152
16,C3k2,0.5,m.0.m.0.cv2.conv,16,8,1152
16,C3k2,0.5,m.0.m.1.cv1.conv,16,8,1152
16,C3k2,0.5,m.0.m.1.cv2.conv,16,8,1152
3,Conv,0.5,conv,64,32,18432
2,C3k2,0.5,cv1.conv,32,16,512
2,C3k2,0.5,cv2.conv,64,32,1536
2,C3k2,0.5,m.0.cv1.conv,8,4,576
2,C3k2,0.5,m.0.cv2.conv,16,8,576
1,Conv,0.5,conv,32,16,2304
0,Conv,0.5,conv,16,8,216
