root_module,original_out_channels,remaining_out_channels,removed_out_channels,root_pruning_fraction
model.0.conv,16,4,12,0.75
model.1.conv,32,4,28,0.875
model.10.cv2.conv,256,26,230,0.8984375
model.10.m.0.ffn.0.conv,256,26,230,0.8984375
model.13.cv2.conv,128,13,115,0.8984375
model.13.m.0.cv1.conv,32,4,28,0.875
model.13.m.0.cv2.conv,32,4,28,0.875
model.13.m.0.m.0.cv1.conv,32,4,28,0.875
model.13.m.0.m.1.cv1.conv,32,4,28,0.875
model.16.cv2.conv,64,64,0,0.0
model.16.m.0.cv1.conv,16,4,12,0.75
model.16.m.0.cv2.conv,16,4,12,0.75
model.16.m.0.m.0.cv1.conv,16,4,12,0.75
model.16.m.0.m.1.cv1.conv,16,4,12,0.75
model.17.conv,64,64,0,0.0
model.19.cv2.conv,128,128,0,0.0
model.19.m.0.cv1.conv,32,4,28,0.875
model.19.m.0.cv2.conv,32,4,28,0.875
model.19.m.0.m.0.cv1.conv,32,4,28,0.875
model.19.m.0.m.1.cv1.conv,32,4,28,0.875
model.2.cv2.conv,64,7,57,0.890625
model.2.m.0.cv1.conv,8,4,4,0.5
model.20.conv,128,128,0,0.0
model.22.cv2.conv,256,256,0,0.0
model.22.m.0.0.cv1.conv,64,64,0,0.0
model.22.m.0.1.ffn.0.conv,256,26,230,0.8984375
model.3.conv,64,7,57,0.890625
model.4.cv2.conv,128,13,115,0.8984375
model.4.m.0.cv1.conv,16,4,12,0.75
model.5.conv,128,13,115,0.8984375
model.6.cv2.conv,128,13,115,0.8984375
model.6.m.0.cv1.conv,32,4,28,0.875
model.6.m.0.cv2.conv,32,4,28,0.875
model.6.m.0.m.0.cv1.conv,32,4,28,0.875
model.6.m.0.m.1.cv1.conv,32,4,28,0.875
model.7.conv,256,26,230,0.8984375
model.8.cv2.conv,256,232,24,0.09375
model.8.m.0.cv1.conv,64,7,57,0.890625
model.8.m.0.cv2.conv,64,7,57,0.890625
model.8.m.0.m.0.cv1.conv,64,7,57,0.890625
model.8.m.0.m.1.cv1.conv,64,7,57,0.890625
model.9.cv1.conv,128,13,115,0.8984375
