module_path,expected_out_channels,actual_out_channels,output_unchanged,current_in_channels
model.10.m.0.attn.pe.conv,128,128,True,128
model.10.m.0.attn.proj.conv,128,128,True,128
model.10.m.0.attn.qkv.conv,256,256,True,128
model.22.m.0.1.attn.pe.conv,128,128,True,128
model.22.m.0.1.attn.proj.conv,128,128,True,128
model.22.m.0.1.attn.qkv.conv,256,256,True,128
model.23.cv2.0.0.conv,16,16,True,64
model.23.cv2.0.1.conv,16,16,True,16
model.23.cv2.0.2,4,4,True,16
model.23.cv2.1.0.conv,16,16,True,128
model.23.cv2.1.1.conv,16,16,True,16
model.23.cv2.1.2,4,4,True,16
model.23.cv2.2.0.conv,16,16,True,256
model.23.cv2.2.1.conv,16,16,True,16
model.23.cv2.2.2,4,4,True,16
model.23.cv3.0.0.0.conv,64,64,True,64
model.23.cv3.0.0.1.conv,64,64,True,64
model.23.cv3.0.1.0.conv,64,64,True,64
model.23.cv3.0.1.1.conv,64,64,True,64
model.23.cv3.0.2,11,11,True,64
model.23.cv3.1.0.0.conv,128,128,True,128
model.23.cv3.1.0.1.conv,64,64,True,128
model.23.cv3.1.1.0.conv,64,64,True,64
model.23.cv3.1.1.1.conv,64,64,True,64
model.23.cv3.1.2,11,11,True,64
model.23.cv3.2.0.0.conv,256,256,True,256
model.23.cv3.2.0.1.conv,64,64,True,256
model.23.cv3.2.1.0.conv,64,64,True,64
model.23.cv3.2.1.1.conv,64,64,True,64
model.23.cv3.2.2,11,11,True,64
model.23.one2one_cv2.0.0.conv,16,16,True,64
model.23.one2one_cv2.0.1.conv,16,16,True,16
model.23.one2one_cv2.0.2,4,4,True,16
model.23.one2one_cv2.1.0.conv,16,16,True,128
model.23.one2one_cv2.1.1.conv,16,16,True,16
model.23.one2one_cv2.1.2,4,4,True,16
model.23.one2one_cv2.2.0.conv,16,16,True,256
model.23.one2one_cv2.2.1.conv,16,16,True,16
model.23.one2one_cv2.2.2,4,4,True,16
model.23.one2one_cv3.0.0.0.conv,64,64,True,64
model.23.one2one_cv3.0.0.1.conv,64,64,True,64
model.23.one2one_cv3.0.1.0.conv,64,64,True,64
model.23.one2one_cv3.0.1.1.conv,64,64,True,64
model.23.one2one_cv3.0.2,11,11,True,64
model.23.one2one_cv3.1.0.0.conv,128,128,True,128
model.23.one2one_cv3.1.0.1.conv,64,64,True,128
model.23.one2one_cv3.1.1.0.conv,64,64,True,64
model.23.one2one_cv3.1.1.1.conv,64,64,True,64
model.23.one2one_cv3.1.2,11,11,True,64
model.23.one2one_cv3.2.0.0.conv,256,256,True,256
model.23.one2one_cv3.2.0.1.conv,64,64,True,256
model.23.one2one_cv3.2.1.0.conv,64,64,True,64
model.23.one2one_cv3.2.1.1.conv,64,64,True,64
model.23.one2one_cv3.2.2,11,11,True,64
