efficiency_rank,layer_id,layer_type,layer_params,reduction_percent_of_unfused_baseline,single_layer_gen_ad,efficiency_param_percent_per_ad,cumulative_reduction_percent
1,22,C3k2,463104,18.46440917191967,0.21024730649792106,87.82233399076742,18.46440917191967
2,9,SPPF,164608,6.563081867078135,0.10133749028064754,64.76459846106421,25.027491038997805
3,8,C3k2,346112,13.799823770279376,0.49019368252785844,28.151778087215785,38.82731480927718
4,20,Conv,147712,5.88942183095503,0.20984307117583628,28.065838905016964,44.71673664023221
5,7,Conv,295424,11.77884366191006,0.5084036287889737,23.168291874641945,56.49558030214227
6,10,C2PSA,249728,9.956899473304388,0.6195871879041417,16.070215246033865,66.45247977544666
7,5,Conv,147712,5.88942183095503,0.6314257240332753,9.327180706759842,72.34190160640169
8,13,C3k2,119808,4.776862074327476,0.6198891600700482,7.705993880886197,77.11876368072917
9,19,C3k2,95232,3.7969929308756862,0.5704117293013915,6.656582843284151,80.91575661160486
10,6,C3k2,87040,3.470369883058423,0.6410463825392152,5.4136018509489485,84.38612649466329
11,17,Conv,36992,1.4749072002998298,0.47410690286869733,3.1109169501130456,85.86103369496311
12,3,Conv,36992,1.4749072002998298,0.6414207460892849,2.299437941931683,87.33594089526294
13,16,C3k2,34304,1.3677340127347901,0.6411437327889536,2.1332720617656094,88.70367490799772
14,4,C3k2,26080,1.0398350936369907,0.6414207460892849,1.6211435317251917,89.74351000163472
15,2,C3k2,6640,0.26474329071125835,0.6414207241476382,0.41274514642953974,90.00825329234597
16,1,Conv,4672,0.186277206958283,0.6414207460892849,0.2904134424931018,90.19453049930425
17,0,Conv,464,0.01850013356777468,0.6414207460892849,0.028842430932534083,90.21303063287202
