model,domain,variant,imgsz,class_id,class_name,map50_95,precision,recall
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,0,articulated_truck,0.7493882602677541,0.6995088895461457,0.9
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,1,bicycle,0.7171601731601731,0.9552906816680083,0.9333333333333333
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,2,bus,0.9352918319764554,0.9601059949970504,0.9830508474576272
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,3,car,0.7043112237434188,0.8941254224824436,0.8661682757757775
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,4,motorcycle,0.60625,0.8486275556704472,1.0
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,5,motorized_vehicle,0.210110257552027,0.5951464870214365,0.2695035460992908
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,6,non_motorized_vehicle,0.3516373972906951,0.8146385743906618,0.5548946539649815
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,7,pedestrian,0.29308606661607567,0.7690698375372695,0.38461538461538464
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,8,pickup_truck,0.7570325272972233,0.8816508979414233,0.8557056003218556
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,9,single_unit_truck,0.38682129661978465,0.6101878511254937,0.5172413793103449
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,10,work_van,0.7496499236343127,0.8247584619331961,0.8666666666666667
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,0,articulated_truck,0.6042382093595173,0.82718469986238,0.8
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,1,bicycle,0.4462606468628695,0.7387393760806777,0.754957504322711
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,2,bus,0.7891365780943683,0.9399596802998028,0.847457627118644
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,3,car,0.5334701476099757,0.8564779350208424,0.7528318906686301
