model,domain,variant,imgsz,map50_95,map50,map75,precision,recall,inference_ms_per_image,ncnn_size_mib
2_baseline_full/full_gen_fp16_ncnn_model,GEN,FP16,640,0.6712130747198204,0.8562622419159465,0.7314918606163137,0.8458514700288385,0.7997832051065572,1479.899984906343,4.671489715576172
2_baseline_full/full_gen_ncnn_model,GEN,FP32,640,0.6710030907011234,0.8562047984690063,0.7326118176138362,0.8506960517837899,0.7943793888143902,1343.5358848321166,9.189159393310547
3_L1_pruned/L1_gen_p10_ncnn_model,GEN,FP32,640,0.6594512181930344,0.8424834557246167,0.7375215826919065,0.8100067845874492,0.7909859942728814,3286.14086849615,8.210103988647461
4_layer_replacement/LR_gen_p10_ncnn_model,GEN,FP32,640,0.6569538102201502,0.835694073583094,0.7156591588701805,0.8364337391645182,0.7975843177684994,581.0997957245193,8.198406219482422
2_baseline_full/full_gen_480_ncnn_model,GEN,FP32,480,0.6566955266519295,0.8437453346913784,0.7457934405116557,0.8058101545326742,0.8159888933406685,1139.0157064135103,9.147100448608398
2_baseline_full/full_gen_320_ncnn_model,GEN,FP32,320,0.6187519167962666,0.813398517978674,0.6991018789447977,0.7611180341748228,0.7879079055361831,1180.7129593582993,9.117059707641602
4_layer_replacement/LR_gen_p10_320_fp16_ncnn_model,GEN,FP16,320,0.6131490989061914,0.8110844867721126,0.6942707653313916,0.8419592573356304,0.7396772973057779,209.91196037354794,4.100824356079102
4_layer_replacement/LR_gen_p10_320_ncnn_model,GEN,FP32,320,0.6118264569872925,0.811003538904533,0.6907333991472533,0.8440106331231327,0.739007003033451,214.53026331961155,8.126306533813477
4_layer_replacement/LR_p56_ncnn_model,GEN,FP32,640,0.6111939569755778,0.8042851153034151,0.665557746625893,0.7980450805984052,0.7566235802899759,376.56833340159875,3.986454963684082
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,0.5873399052870835,0.7766044548946641,0.6436079868197313,0.8048282413012342,0.7391981534132057,3122.3321331885054,9.189159393310547
4_layer_replacement/LR_p56_320_ncnn_model,GEN,FP32,320,0.5669955231712931,0.761882268817439,0.6315142269821068,0.7270467206888255,0.7369092476357548,174.05905174938115,3.7678709030151367
3_L1_pruned/L1_gen_p10_320_ncnn_model,GEN,FP32,320,0.561090384537693,0.7552270956593676,0.6151297003900402,0.7390164267290033,0.7269549028795097,1315.7812681963499,8.138004302978516
2_baseline_full/full_gen_int8_ncnn_model,GEN,INT8,640,0.5182301627423657,0.7155292235471074,0.6050150494728632,0.7378092367141076,0.6746064477655703,1524.9262754805386,2.4424190521240234
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,0.42188638315739074,0.6186138312638046,0.4523228258473194,0.7074051667111207,0.5692455808296741,3055.892200327732,2.370319366455078
3_L1_pruned/L1_gen_p56_ncnn_model,GEN,FP32,640,0.4111927130181958,0.6063139927452389,0.4658852525002111,0.6433088234468636,0.5521014407648482,1222.0061963474886,3.793354034423828
4_layer_replacement/LR_gen_p10_320_int8_ncnn_model,GEN,INT8,320,0.39029952233510345,0.6027503397009037,0.429344668576357,0.679748960558909,0.5266519417093848,185.29880885881457,2.1147584915161133
4_layer_replacement/LR_gen_p56_320_int8_ncnn_model,GEN,INT8,320,0.3330330805820544,0.5020447644901194,0.35257959722036253,0.582708245287852,0.5083081335218437,175.3195867484266,1.0433015823364258
3_L1_pruned/L1_gen_p10_320_int8_ncnn_model,GEN,INT8,320,0.32748960262400817,0.5001254975316507,0.36299758435739765,0.5692560428444545,0.50128893715258,1199.1974198123949,2.121797561645508
3_L1_pruned/L1_gen_p56_320_ncnn_model,GEN,FP32,320,0.3258492779784766,0.46668404638281885,0.3820581616223093,0.4954399637476388,0.438745016236766,787.3442356423899,3.721254348754883
4_layer_replacement/LR_snow_p10_ncnn_model,SNOW,FP32,640,0.2008261402635565,0.34926646098478076,0.22914719991566915,0.4155489412700337,0.3732869120928648,84.66053867712617,8.196168899536133
3_L1_pruned/L1_snow_p10_ncnn_model,SNOW,FP32,640,0.11855122867439713,0.21757149173467377,0.11183130448608467,0.5336837658054805,0.1922942334291522,1577.8951223473996,8.210652351379395
3_L1_pruned/L1_gen_p56_320_int8_ncnn_model,GEN,INT8,320,0.035817268170720076,0.05960219172712315,0.03682536221362887,0.20781431999960834,0.07661479935825452,1763.317443264479,1.0037460327148438
