model,domain,variant,imgsz,classes,status,error,map50_95,map50,map75,precision,recall,preprocess_ms_per_image,inference_ms_per_image,postprocess_ms_per_image,wall_time_seconds,ncnn_size_bytes,ncnn_size_mib,param_sha256,bin_sha256,dataset_yaml
0_yolo26n_official/official_640_ncnn_model,INCOMPATIBLE,FP32,640,80,skipped,Class list does not match GEN or SNOW label space.,,,,,,,,,,,,,,
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,11,ok,,0.5873399052870835,0.7766044548946641,0.6436079868197313,0.8048282413012342,0.7391981534132057,35.803154891526155,3122.3321331885054,37.27139733901078,1775.0881958007812,9635532,9.189159393310547,dcdceb5eed6797e879ffe7e28af619fd53566815cc7442575d9ef36b314b75c9,4f8b66feaa0a2d54db94a80e0443af50a3b17c2e6590b49e924e89d3ae148ddc,/project/ko/afm176/datasets/1_data/reproduction_exact_v1/GEN_MIO_TCD_exact_val5pct_seed42/dataset_GEN_val5pct_seed42.yaml
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,11,ok,,0.42188638315739074,0.6186138312638046,0.4523228258473194,0.7074051667111207,0.5692455808296741,34.26761290397157,3055.892200327732,1.3026690398427574,1723.6796381473541,2485460,2.370319366455078,4271ada8473ab5c43002fef0dbd06fdd68622c4d6a93ae645b7ba76a844f7532,7ec6cce110fdb4ab2489892ee1d7c3a8ca875ec93c99c9e8d5ebf9cd198a66e1,/project/ko/afm176/datasets/1_data/reproduction_exact_v1/GEN_MIO_TCD_exact_val5pct_seed42/dataset_GEN_val5pct_seed42.yaml
2_baseline_full/full_gen_320_ncnn_model,GEN,FP32,320,11,ok,,0.6187519167962666,0.813398517978674,0.6991018789447977,0.7611180341748228,0.7879079055361831,33.67630366913297,1180.7129593582993,1.3862429643896492,692.5193145275116,9559930,9.117059707641602,11601ca464fe5adb4e666d4c5afc5ba62ffba1766d598234c5e6321c412b4bda,598750f274bbca7705387d14f910bc1508f22b96a1560c955d278029e8e378bc,/project/ko/afm176/datasets/1_data/reproduction_exact_v1/GEN_MIO_TCD_exact_val5pct_seed42/dataset_GEN_val5pct_seed42.yaml
2_baseline_full/full_gen_480_ncnn_model,GEN,FP32,480,11,ok,,0.6566955266519295,0.8437453346913784,0.7457934405116557,0.8058101545326742,0.8159888933406685,34.09208354624835,1139.0157064135103,20.25693517008966,669.0177359580994,9591430,9.147100448608398,c6291d3e8e3fccc406f52647dc945928bb41c4e5347392a75a3e00e3f03da723,0eea144bd9470d85cdf402ed5e93fcfc5a6dd729c24c7f73a16b0666e1ea7965,/project/ko/afm176/datasets/1_data/reproduction_exact_v1/GEN_MIO_TCD_exact_val5pct_seed42/dataset_GEN_val5pct_seed42.yaml
2_baseline_full/full_gen_fp16_ncnn_model,GEN,FP16,640,11,ok,,0.6712130747198204,0.8562622419159465,0.7314918606163137,0.8458514700288385,0.7997832051065572,34.22215226191011,1479.899984906343,37.73357668044893,867.1806263923645,4898412,4.671489715576172,dcdceb5eed6797e879ffe7e28af619fd53566815cc7442575d9ef36b314b75c9,8203071882ffbb3e663067b7fa673656d4b990d7c14130f00ea7c90445230729,/project/ko/afm176/datasets/1_data/reproduction_exact_v1/GEN_MIO_TCD_exact_val5pct_seed42/dataset_GEN_val5pct_seed42.yaml
2_baseline_full/full_gen_int8_ncnn_model,GEN,INT8,640,11,ok,,0.5182301627423657,0.7155292235471074,0.6050150494728632,0.7378092367141076,0.6746064477655703,33.95261118357832,1524.9262754805386,37.692655040459194,892.1509509086609,2561062,2.4424190521240234,dacefeb83f855d7021f6845c0aef28eda91837b901ff62755353af18190a5a44,f25aa58deebb4ccc8204e34b77a213a9368d463eb47b155e714b4fedface3450,/project/ko/afm176/datasets/1_data/reproduction_exact_v1/GEN_MIO_TCD_exact_val5pct_seed42/dataset_GEN_val5pct_seed42.yaml
2_baseline_full/full_gen_ncnn_model,GEN,FP32,640,11,ok,,0.6710030907011234,0.8562047984690063,0.7326118176138362,0.8506960517837899,0.7943793888143902,33.55672497302294,1343.5358848321166,37.75509317659519,793.218373298645,9635532,9.189159393310547,dcdceb5eed6797e879ffe7e28af619fd53566815cc7442575d9ef36b314b75c9,710829e8aa86c2fc39ebbea7b33737b033008b6ec6187d0e72dc1f2644bd82a1,/project/ko/afm176/datasets/1_data/reproduction_exact_v1/GEN_MIO_TCD_exact_val5pct_seed42/dataset_GEN_val5pct_seed42.yaml
3_L1_pruned/L1_gen_p10_320_int8_ncnn_model,GEN,INT8,320,11,ok,,0.32748960262400817,0.5001254975316507,0.36299758435739765,0.5692560428444545,0.50128893715258,34.2764508029954,1199.1974198123949,1.6729998876425354,702.317379951477,2224866,2.121797561645508,f63fcf65f9a71fb6d5f4232c8d186eeddb5e65b67a4cb028c3c9cb494710c77e,1afde8eedfc67bce69bfac9275000e3a82b9458e614aacb34e40a474e682de5f,/project/ko/afm176/datasets/1_data/reproduction_exact_v1/GEN_MIO_TCD_exact_val5pct_seed42/dataset_GEN_val5pct_seed42.yaml
3_L1_pruned/L1_gen_p10_320_ncnn_model,GEN,FP32,320,11,ok,,0.561090384537693,0.7552270956593676,0.6151297003900402,0.7390164267290033,0.7269549028795097,34.10555489530617,1315.7812681963499,1.6037024540657348,766.6903867721558,8533316,8.138004302978516,c08a65a637df92c041104957020c14cd0d0bc6d5b04a0afcc36b55716b64dad4,ea95b8769bf3ee4a40bf9c17fa50d0781f7317eb6ae273da036f71f74e107290,/project/ko/afm176/datasets/1_data/reproduction_exact_v1/GEN_MIO_TCD_exact_val5pct_seed42/dataset_GEN_val5pct_seed42.yaml
