epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1755.46,1.38766,1.10184,0.00598,0.73569,0.70482,0.74377,0.5358,1.07107,0.71189,0.00592,0.000999818,0.000999818,0.001018
2,3454.58,1.17344,0.78378,0.0046,0.76345,0.71294,0.76489,0.56328,1.03299,0.65971,0.00566,0.0009505,0.0009505,0.0009505
3,5134.36,1.14613,0.7481,0.00447,0.77283,0.72563,0.77901,0.57815,1.01624,0.63034,0.00545,0.000901,0.000901,0.000901
4,6677.73,1.13557,0.73122,0.00439,0.76143,0.74296,0.78643,0.58703,1.00512,0.61903,0.00536,0.0008515,0.0008515,0.0008515
5,8382.43,1.12211,0.71659,0.00434,0.77467,0.74298,0.78811,0.59112,0.99618,0.61415,0.00529,0.000802,0.000802,0.000802
6,10086.5,1.11638,0.70571,0.00429,0.78753,0.73815,0.79376,0.59715,0.99157,0.60347,0.00524,0.0007525,0.0007525,0.0007525
7,11816.4,1.10794,0.69653,0.00425,0.78826,0.74164,0.79924,0.60442,0.98772,0.59527,0.00521,0.000703,0.000703,0.000703
8,12998.1,1.10407,0.6934,0.00421,0.79391,0.75445,0.8043,0.60807,0.98401,0.58827,0.00517,0.0006535,0.0006535,0.0006535
9,14581.9,1.09882,0.68061,0.00417,0.79012,0.7503,0.80346,0.60925,0.98206,0.58627,0.00515,0.000604,0.000604,0.000604
10,16305.7,1.0962,0.67541,0.00415,0.79615,0.75426,0.8053,0.61161,0.98139,0.58568,0.00514,0.0005545,0.0005545,0.0005545
11,18031.3,1.08949,0.67022,0.00412,0.79908,0.75092,0.80559,0.61134,0.98023,0.58201,0.00513,0.000505,0.000505,0.000505
12,19753.6,1.08505,0.66177,0.0041,0.79845,0.75102,0.80682,0.61269,0.97875,0.58103,0.00512,0.0004555,0.0004555,0.0004555
13,21154.5,1.07881,0.65621,0.00406,0.8035,0.75104,0.80777,0.61371,0.978,0.58055,0.00511,0.000406,0.000406,0.000406
14,22846.1,1.07563,0.65102,0.00404,0.8009,0.75556,0.80809,0.6142,0.97757,0.57863,0.0051,0.0003565,0.0003565,0.0003565
15,24570.3,1.07141,0.64486,0.00402,0.80873,0.75103,0.80876,0.61537,0.9774,0.57725,0.0051,0.000307,0.000307,0.000307
16,26288.2,1.07059,0.6433,0.004,0.80254,0.7552,0.80908,0.61576,0.97693,0.57642,0.0051,0.0002575,0.0002575,0.0002575
17,28006,1.06607,0.63724,0.00398,0.79432,0.75942,0.80904,0.61578,0.97638,0.57539,0.0051,0.000208,0.000208,0.000208
18,29719.1,1.06178,0.63217,0.00396,0.79592,0.75876,0.80938,0.61604,0.97615,0.57467,0.00509,0.0001585,0.0001585,0.0001585
