model,domain,variant,imgsz,class_id,class_name,map50_95,precision,recall
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,0,articulated_truck,0.6881527771011329,0.7391622689912206,0.8630952380952381
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,1,bicycle,0.6016369799033875,0.8208210556667558,0.8443467385710034
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,2,bus,0.9002076857079064,0.9342926031722419,0.9467140319715808
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,3,car,0.6911179759141366,0.8691567246022102,0.898209188664367
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,4,motorcycle,0.5352917887543395,0.8249620215666637,0.8031496062992126
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,5,motorized_vehicle,0.22294194413345697,0.5772545208224733,0.33903248363465144
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,6,non_motorized_vehicle,0.28538624630454745,0.6289153825087105,0.38317757009345793
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,7,pedestrian,0.32624779430074236,0.7927525874280561,0.5279878971255674
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,8,pickup_truck,0.7379537237228889,0.8071305822657174,0.8641894113778362
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,9,single_unit_truck,0.4300251289199247,0.6485535410553604,0.5746924428822495
1_baseline_light/light_gen_640_ncnn_model,GEN,FP32,640,10,work_van,0.6348797138321999,0.69300294749118,0.7353932793258697
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,0,articulated_truck,0.5422032810017459,0.7561290284220029,0.6976190331250848
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,1,bicycle,0.383819261259038,0.49963702801087556,0.7333333333333333
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,2,bus,0.7477337487466093,0.9313614672822662,0.8383658969804618
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,3,car,0.5358763276455211,0.796014663202938,0.8090075062552127
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,4,motorcycle,0.28141640524719047,0.46019027664715134,0.5354330708661418
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,5,motorized_vehicle,0.14171144796840773,0.6190801926228947,0.19078446306169078
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,6,non_motorized_vehicle,0.0804449128332052,0.1969494736802153,0.32710280373831774
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,7,pedestrian,0.1612499806448871,0.6953659529561754,0.25554422516132086
2_baseline_full/full_gen_320_int8_ncnn_model,GEN,INT8,320,8,pickup_truck,0.5561980108736254,0.7978004131714423,0.6169023347583031
