layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,1.0,0.506632,0.690055,0.000000,0.000000
0,Conv,1.0,0.129418,0.186596,0.377214,0.503459
1,Conv,1.0,0.301697,0.437431,0.204935,0.252624
2,C3k2,1.0,0.474561,0.650729,0.032072,0.039326
3,Conv,1.0,0.334498,0.473960,0.172134,0.216095
4,C3k2,1.0,0.484197,0.670723,0.022436,0.019333
5,Conv,1.0,0.466743,0.637374,0.039890,0.052681
6,C3k2,1.0,0.488420,0.662584,0.018213,0.027472
7,Conv,1.0,0.497987,0.678049,0.008646,0.012006
8,C3k2,1.0,0.465640,0.636539,0.040992,0.053517
9,SPPF,1.0,0.471878,0.643380,0.034754,0.046675
10,C2PSA,1.0,0.480587,0.657494,0.026045,0.032561
11,Upsample,1.0,0.494212,0.677629,0.012420,0.012426
12,Concat,1.0,0.480080,0.660008,0.026552,0.030047
13,C3k2,1.0,0.477476,0.665829,0.029157,0.024226
14,Upsample,1.0,0.492659,0.680166,0.013973,0.009889
15,Concat,1.0,0.488623,0.673205,0.018009,0.016850
16,C3k2,1.0,0.451669,0.606830,0.054963,0.083225
17,Conv,1.0,0.499871,0.684688,0.006762,0.005367
18,Concat,1.0,0.495438,0.681729,0.011195,0.008326
19,C3k2,1.0,0.445578,0.624095,0.061054,0.065961
20,Conv,1.0,0.504555,0.688742,0.002077,0.001313
21,Concat,1.0,0.506439,0.690848,0.000193,-0.000793
22,C3k2,1.0,0.442851,0.630629,0.063782,0.059426
